date,inflow_scale,inflow_change_pct,storage_af,storage_maf
2014-01-01,0.5,-50.0,917173.2994214876,0.9171732994214876
2014-01-02,0.5,-50.0,916783.4233884297,0.9167834233884297
2014-01-03,0.5,-50.0,916454.0432231405,0.9164540432231405
2014-01-04,0.5,-50.0,916030.4481818182,0.9160304481818182
2014-01-05,0.5,-50.0,915559.2498347107,0.9155592498347107
2014-01-06,0.5,-50.0,915191.1919834712,0.9151911919834712
2014-01-07,0.5,-50.0,914680.3242148762,0.9146803242148762
2014-01-08,0.5,-50.0,914081.1919834712,0.9140811919834712
2014-01-09,0.5,-50.0,913496.9357851241,0.913496935785124
2014-01-10,0.5,-50.0,913040.6134710745,0.9130406134710745
2014-01-11,0.5,-50.0,912751.89446281,0.91275189446281
2014-01-12,0.5,-50.0,912264.8283471075,0.9122648283471075
2014-01-13,0.5,-50.0,911857.1010743802,0.9118571010743802
2014-01-14,0.5,-50.0,911412.6795867769,0.9114126795867769
2014-01-15,0.5,-50.0,910949.415123967,0.910949415123967
2014-01-16,0.5,-50.0,910457.3820661157,0.9104573820661157
2014-01-17,0.5,-50.0,909981.2167768595,0.9099812167768595
2014-01-18,0.5,-50.0,909522.9027272727,0.9095229027272728
2014-01-19,0.5,-50.0,909056.6547933884,0.9090566547933885
2014-01-20,0.5,-50.0,908599.3324793389,0.9085993324793389
2014-01-21,0.5,-50.0,908132.0845454546,0.9081320845454546
2014-01-22,0.5,-50.0,907640.0432231405,0.9076400432231405
2014-01-23,0.5,-50.0,907092.4647107437,0.9070924647107438
2014-01-24,0.5,-50.0,906513.150661157,0.906513150661157
2014-01-25,0.5,-50.0,906042.9275206611,0.9060429275206612
2014-01-26,0.5,-50.0,905521.1341322314,0.9055211341322313
2014-01-27,0.5,-50.0,904871.3985950412,0.9048713985950413
2014-01-28,0.5,-50.0,904374.3903305784,0.9043743903305784
2014-01-29,0.5,-50.0,903863.497768595,0.903863497768595
2014-01-30,0.5,-50.0,903346.6547933884,0.9033466547933885
2014-01-31,0.5,-50.0,902892.2911570248,0.9028922911570249
2014-02-01,0.5,-50.0,902549.0019008263,0.9025490019008263
2014-02-02,0.5,-50.0,902223.5556198346,0.9022235556198346
2014-02-03,0.5,-50.0,901691.8283471073,0.9016918283471073
2014-02-04,0.5,-50.0,901180.9275206609,0.9011809275206609
2014-02-05,0.5,-50.0,900707.7126446279,0.9007077126446279
2014-02-06,0.5,-50.0,900198.795289256,0.9001987952892561
2014-02-07,0.5,-50.0,899618.4647107436,0.8996184647107436
2014-02-08,0.5,-50.0,899129.3738016528,0.8991293738016528
2014-02-09,0.5,-50.0,898675.9853719007,0.8986759853719007
2014-02-10,0.5,-50.0,898174.0019008262,0.8981740019008262
2014-02-11,0.5,-50.0,897672.0184297517,0.8976720184297518
2014-02-12,0.5,-50.0,897197.8035537187,0.8971978035537187
2014-02-13,0.5,-50.0,896681.9275206608,0.8966819275206608
2014-02-14,0.5,-50.0,896193.8200826442,0.8961938200826443
2014-02-15,0.5,-50.0,895921.9109917352,0.8959219109917351
2014-02-16,0.5,-50.0,895576.6052066112,0.8955766052066112
2014-02-17,0.5,-50.0,895182.7043801649,0.8951827043801649
2014-02-18,0.5,-50.0,894723.3407438012,0.8947233407438012
2014-02-19,0.5,-50.0,894268.9357851235,0.8942689357851235
2014-02-20,0.5,-50.0,893780.8035537185,0.8937808035537185
2014-02-21,0.5,-50.0,893332.3324793383,0.8933323324793383
2014-02-22,0.5,-50.0,892890.8035537184,0.8928908035537184
2014-02-23,0.5,-50.0,892387.7787603299,0.8923877787603299
2014-02-24,0.5,-50.0,891951.1919834705,0.8919511919834705
2014-02-25,0.5,-50.0,891560.2250413216,0.8915602250413216
2014-02-26,0.5,-50.0,891315.0349586769,0.8913150349586769
2014-02-27,0.5,-50.0,891163.0680165282,0.8911630680165281
2014-02-28,0.5,-50.0,891077.4225690099,0.8910774225690099
2014-03-01,0.5,-50.0,891119.9912890787,0.8911199912890787
2014-03-02,0.5,-50.0,891488.6563687788,0.8914886563687788
2014-03-03,0.5,-50.0,891914.5764988858,0.8919145764988857
2014-03-04,0.5,-50.0,892158.4050690546,0.8921584050690545
2014-03-05,0.5,-50.0,892566.629117606,0.892566629117606
2014-03-06,0.5,-50.0,892941.6908839861,0.8929416908839861
2014-03-07,0.5,-50.0,893197.5107778151,0.8931975107778152
2014-03-08,0.5,-50.0,893385.8461504878,0.8933858461504878
2014-03-09,0.5,-50.0,893539.5888311871,0.8935395888311871
2014-03-10,0.5,-50.0,893732.8983515145,0.8937328983515145
2014-03-11,0.5,-50.0,893925.168757875,0.893925168757875
2014-03-12,0.5,-50.0,894242.5797413783,0.8942425797413783
2014-03-13,0.5,-50.0,894595.1273591409,0.8945951273591409
2014-03-14,0.5,-50.0,895005.3827024915,0.8950053827024915
2014-03-15,0.5,-50.0,895260.2597056174,0.8952602597056174
2014-03-16,0.5,-50.0,895432.2894030199,0.8954322894030199
2014-03-17,0.5,-50.0,895719.8444232814,0.8957198444232813
2014-03-18,0.5,-50.0,895976.56457895,0.89597656457895
2014-03-19,0.5,-50.0,896158.162740947,0.896158162740947
2014-03-20,0.5,-50.0,896171.925620563,0.896171925620563
2014-03-21,0.5,-50.0,896203.3620177056,0.8962033620177056
2014-03-22,0.5,-50.0,896336.7723529626,0.8963367723529626
2014-03-23,0.5,-50.0,896528.7590719208,0.8965287590719208
2014-03-24,0.5,-50.0,896609.5428073694,0.8966095428073694
2014-03-25,0.5,-50.0,896760.005726179,0.896760005726179
2014-03-26,0.5,-50.0,896732.9446798151,0.8967329446798151
2014-03-27,0.5,-50.0,896836.6009328415,0.8968366009328416
2014-03-28,0.5,-50.0,896915.7728295317,0.8969157728295317
2014-03-29,0.5,-50.0,897196.2937422381,0.8971962937422381
2014-03-30,0.5,-50.0,897109.9602283319,0.8971099602283319
2014-03-31,0.5,-50.0,897229.669481186,0.897229669481186
2014-04-01,0.5,-50.0,896863.0372350581,0.8968630372350581
2014-04-02,0.5,-50.0,896673.2898469593,0.8966732898469593
2014-04-03,0.5,-50.0,896888.4836606932,0.8968884836606932
2014-04-04,0.5,-50.0,897040.3076438461,0.8970403076438461
2014-04-05,0.5,-50.0,896752.2254080527,0.8967522254080527
2014-04-06,0.5,-50.0,896597.2786321277,0.8965972786321277
2014-04-07,0.5,-50.0,896141.9817212506,0.8961419817212506
2014-04-08,0.5,-50.0,894966.2775530885,0.8949662775530886
2014-04-09,0.5,-50.0,895106.0902948331,0.895106090294833
2014-04-10,0.5,-50.0,895384.8366560847,0.8953848366560847
2014-04-11,0.5,-50.0,895157.6566471413,0.8951576566471413
2014-04-12,0.5,-50.0,895846.4944212132,0.8958464944212131
2014-04-13,0.5,-50.0,896229.2943514389,0.8962292943514388
2014-04-14,0.5,-50.0,897094.21978325,0.89709421978325
2014-04-15,0.5,-50.0,898312.9045833271,0.8983129045833271
2014-04-16,0.5,-50.0,899491.7939586827,0.8994917939586827
2014-04-17,0.5,-50.0,899846.3484929012,0.8998463484929012
2014-04-18,0.5,-50.0,900635.7133702552,0.9006357133702552
2014-04-19,0.5,-50.0,901737.941772322,0.901737941772322
2014-04-20,0.5,-50.0,903424.9809419488,0.9034249809419488
2014-04-21,0.5,-50.0,905116.7804763918,0.9051167804763918
2014-04-22,0.5,-50.0,905998.9849457099,0.90599898494571
2014-04-23,0.5,-50.0,906966.9475880328,0.9069669475880328
2014-04-24,0.5,-50.0,908075.2767553594,0.9080752767553594
2014-04-25,0.5,-50.0,908994.2043226128,0.9089942043226128
2014-04-26,0.5,-50.0,909954.0664669254,0.9099540664669254
2014-04-27,0.5,-50.0,911319.0499379998,0.9113190499379998
2014-04-28,0.5,-50.0,912237.4912020342,0.9122374912020341
2014-04-29,0.5,-50.0,913031.5195891513,0.9130315195891513
2014-04-30,0.5,-50.0,913482.4215063803,0.9134824215063803
2014-05-01,0.5,-50.0,913599.4761758945,0.9135994761758945
2014-05-02,0.5,-50.0,913555.5224079447,0.9135555224079447
2014-05-03,0.5,-50.0,913412.3804446952,0.9134123804446952
2014-05-04,0.5,-50.0,913381.1519437142,0.9133811519437143
2014-05-05,0.5,-50.0,913731.0233376588,0.9137310233376589
2014-05-06,0.5,-50.0,914018.8465275124,0.9140188465275124
2014-05-07,0.5,-50.0,914762.1493131967,0.9147621493131967
2014-05-08,0.5,-50.0,915833.9826203841,0.9158339826203841
2014-05-09,0.5,-50.0,916777.2371040249,0.9167772371040248
2014-05-10,0.5,-50.0,916791.4284921628,0.9167914284921629
2014-05-11,0.5,-50.0,916797.0960489255,0.9167970960489256
2014-05-12,0.5,-50.0,918239.5867568905,0.9182395867568905
2014-05-13,0.5,-50.0,919333.8938508024,0.9193338938508024
2014-05-14,0.5,-50.0,919900.3349549348,0.9199003349549347
2014-05-15,0.5,-50.0,919467.0103453516,0.9194670103453516
2014-05-16,0.5,-50.0,918812.2915088746,0.9188122915088747
2014-05-17,0.5,-50.0,918859.4113486611,0.918859411348661
2014-05-18,0.5,-50.0,918854.2204168522,0.9188542204168522
2014-05-19,0.5,-50.0,919406.5893042254,0.9194065893042254
2014-05-20,0.5,-50.0,920304.428618363,0.920304428618363
2014-05-21,0.5,-50.0,920320.2157530853,0.9203202157530853
2014-05-22,0.5,-50.0,922315.436411159,0.922315436411159
2014-05-23,0.5,-50.0,924282.8385297158,0.9242828385297158
2014-05-24,0.5,-50.0,925990.4918237667,0.9259904918237667
2014-05-25,0.5,-50.0,928044.5317027696,0.9280445317027696
2014-05-26,0.5,-50.0,929729.658529978,0.929729658529978
2014-05-27,0.5,-50.0,930928.1122510954,0.9309281122510954
2014-05-28,0.5,-50.0,932757.998037735,0.932757998037735
2014-05-29,0.5,-50.0,935220.4817455098,0.9352204817455098
2014-05-30,0.5,-50.0,935830.9682272315,0.9358309682272316
2014-05-31,0.5,-50.0,931189.3641436265,0.9311893641436265
2014-06-01,0.5,-50.0,927087.6753445329,0.927087675344533
2014-06-02,0.5,-50.0,923316.9201113988,0.9233169201113988
2014-06-03,0.5,-50.0,918699.0552597545,0.9186990552597545
2014-06-04,0.5,-50.0,913373.0744014482,0.9133730744014482
2014-06-05,0.5,-50.0,907343.8906714096,0.9073438906714095
2014-06-06,0.5,-50.0,900235.2774342966,0.9002352774342965
2014-06-07,0.5,-50.0,899097.5846831923,0.8990975846831923
2014-06-08,0.5,-50.0,897193.4494787983,0.8971934494787983
2014-06-09,0.5,-50.0,897987.6322291062,0.8979876322291062
2014-06-10,0.5,-50.0,898037.0629196351,0.8980370629196351
2014-06-11,0.5,-50.0,898034.0935777265,0.8980340935777266
2014-06-12,0.5,-50.0,898042.4432753755,0.8980424432753755
2014-06-13,0.5,-50.0,897505.7027804819,0.8975057027804819
2014-06-14,0.5,-50.0,897096.2393004074,0.8970962393004074
2014-06-15,0.5,-50.0,896754.5931279863,0.8967545931279863
2014-06-16,0.5,-50.0,896157.1502022888,0.8961571502022888
2014-06-17,0.5,-50.0,895482.5266318545,0.8954825266318545
2014-06-18,0.5,-50.0,894195.6508264017,0.8941956508264016
2014-06-19,0.5,-50.0,893197.4852586411,0.8931974852586411
2014-06-20,0.5,-50.0,892140.4322282645,0.8921404322282646
2014-06-21,0.5,-50.0,890565.9006489395,0.8905659006489396
2014-06-22,0.5,-50.0,888976.1018241722,0.8889761018241722
2014-06-23,0.5,-50.0,887760.4897564688,0.8877604897564688
2014-06-24,0.5,-50.0,886384.2068829999,0.8863842068829999
2014-06-25,0.5,-50.0,884810.8748814162,0.8848108748814162
2014-06-26,0.5,-50.0,883273.3995836775,0.8832733995836776
2014-06-27,0.5,-50.0,881631.4507333138,0.8816314507333138
2014-06-28,0.5,-50.0,879916.2595580737,0.8799162595580737
2014-06-29,0.5,-50.0,878608.1937969332,0.8786081937969331
2014-06-30,0.5,-50.0,877278.7129373502,0.8772787129373502
2014-07-01,0.5,-50.0,875809.132263691,0.8758091322636911
2014-07-02,0.5,-50.0,874168.1837476493,0.8741681837476493
2014-07-03,0.5,-50.0,872699.517985749,0.872699517985749
2014-07-04,0.5,-50.0,871287.8299408777,0.8712878299408777
2014-07-05,0.5,-50.0,870263.2172526555,0.8702632172526555
2014-07-06,0.5,-50.0,869187.1459245319,0.8691871459245318
2014-07-07,0.5,-50.0,868110.0489800855,0.8681100489800855
2014-07-08,0.5,-50.0,867508.5662848921,0.8675085662848921
2014-07-09,0.5,-50.0,866307.6041622823,0.8663076041622824
2014-07-10,0.5,-50.0,865206.3877811936,0.8652063877811936
2014-07-11,0.5,-50.0,864659.7234272792,0.8646597234272791
2014-07-12,0.5,-50.0,863536.9804042658,0.8635369804042659
2014-07-13,0.5,-50.0,862081.6815359447,0.8620816815359447
2014-07-14,0.5,-50.0,861127.1644549913,0.8611271644549914
2014-07-15,0.5,-50.0,860483.712380042,0.860483712380042
2014-07-16,0.5,-50.0,860270.109237816,0.860270109237816
2014-07-17,0.5,-50.0,859294.2898020027,0.8592942898020027
2014-07-18,0.5,-50.0,857920.442779024,0.857920442779024
2014-07-19,0.5,-50.0,856368.5633381646,0.8563685633381646
2014-07-20,0.5,-50.0,854694.1681765438,0.8546941681765438
2014-07-21,0.5,-50.0,852677.1739717941,0.8526771739717941
2014-07-22,0.5,-50.0,850698.3143723259,0.8506983143723259
2014-07-23,0.5,-50.0,848887.4174071728,0.8488874174071729
2014-07-24,0.5,-50.0,846432.7009193671,0.8464327009193672
2014-07-25,0.5,-50.0,843887.581192855,0.843887581192855
2014-07-26,0.5,-50.0,841419.9063330593,0.8414199063330593
2014-07-27,0.5,-50.0,839318.3137515073,0.8393183137515073
2014-07-28,0.5,-50.0,837202.0023924486,0.8372020023924486
2014-07-29,0.5,-50.0,835035.0443959067,0.8350350443959067
2014-07-30,0.5,-50.0,833010.6930073538,0.8330106930073539
2014-07-31,0.5,-50.0,831510.4644070646,0.8315104644070646
2014-08-01,0.5,-50.0,830164.1508399267,0.8301641508399267
2014-08-02,0.5,-50.0,828673.8952698224,0.8286738952698225
2014-08-03,0.5,-50.0,827456.3052639636,0.8274563052639636
2014-08-04,0.5,-50.0,826517.121544707,0.826517121544707
2014-08-05,0.5,-50.0,825506.0469630563,0.8255060469630563
2014-08-06,0.5,-50.0,824333.5598765002,0.8243335598765001
2014-08-07,0.5,-50.0,823476.0784882348,0.8234760784882348
2014-08-08,0.5,-50.0,822186.0445886595,0.8221860445886595
