time,value
1975-11-01,14.0
1975-11-02,13.0
1975-11-03,12.0
1975-11-04,12.0
1975-11-05,12.0
1975-11-06,12.0
1975-11-07,13.0
1975-11-08,13.0
1975-11-09,14.0
1975-11-10,12.0
1975-11-11,13.0
1975-11-12,14.0
1975-11-13,14.0
1975-11-14,9.9
1975-11-15,12.0
1975-11-16,13.0
1975-11-17,13.0
1975-11-18,13.0
1975-11-19,15.0
1975-11-20,15.0
1975-11-21,15.0
1975-11-22,15.0
1975-11-23,13.0
1975-11-24,14.0
1975-11-25,13.0
1975-11-26,14.0
1975-11-27,13.0
1975-11-28,15.0
1975-11-29,13.0
1975-11-30,13.0
1975-12-01,14.0
1975-12-02,13.0
1975-12-03,12.0
1975-12-04,12.0
1975-12-05,13.0
1975-12-06,12.0
1975-12-07,12.0
1975-12-08,13.0
1975-12-09,13.0
1975-12-10,13.0
1975-12-11,15.0
1975-12-12,15.0
1975-12-13,17.0
1975-12-14,17.0
1975-12-15,17.0
1975-12-16,17.0
1975-12-17,17.0
1975-12-18,16.0
1975-12-19,16.0
1975-12-20,16.0
1975-12-21,16.0
1975-12-22,15.0
1975-12-23,16.0
1975-12-24,14.0
1975-12-25,13.0
1975-12-26,15.0
1975-12-27,14.0
1975-12-28,13.0
1975-12-29,13.0
1975-12-30,9.9
1975-12-31,8.6
1976-01-01,10.0
1976-01-02,6.0
1976-01-03,10.0
1976-01-04,8.0
1976-01-05,8.0
1976-01-06,10.0
1976-01-07,7.8
1976-01-08,6.0
1976-01-09,7.8
1976-01-10,8.0
1976-01-11,8.5
1976-01-12,9.0
1976-01-13,8.1
1976-01-14,9.0
1976-01-15,9.0
1976-01-16,9.0
1976-01-17,9.0
1976-01-18,9.0
1976-01-19,8.6
1976-01-20,9.0
1976-01-21,9.9
1976-01-22,9.9
1976-01-23,12.0
1976-01-24,12.0
1976-01-25,12.0
1976-01-26,12.0
1976-01-27,16.0
1976-01-28,16.0
1976-01-29,17.0
1976-01-30,13.0
1976-01-31,9.0
1976-02-01,8.6
1976-02-02,9.0
1976-02-03,8.6
1976-02-04,8.6
1976-02-05,8.6
1976-02-06,8.6
1976-02-07,9.0
1976-02-08,9.9
1976-02-09,11.0
1976-02-10,17.0
1976-02-11,18.0
1976-02-12,16.0
1976-02-13,14.0
1976-02-14,13.0
1976-02-15,13.0
1976-02-16,13.0
1976-02-17,11.0
1976-02-18,9.9
1976-02-19,9.9
1976-02-20,9.9
1976-02-21,16.0
1976-02-22,12.0
1976-02-23,17.0
1976-02-24,17.0
1976-02-25,14.0
1976-02-26,14.0
1976-02-27,12.0
1976-02-28,11.0
1976-02-29,14.0
1976-03-01,16.0
1976-03-02,12.0
1976-03-03,11.0
1976-03-04,9.9
1976-03-05,9.9
1976-03-06,12.0
1976-03-07,13.0
1976-03-08,13.0
1976-03-09,13.0
1976-03-10,10.0
1976-03-11,11.0
1976-03-12,10.0
1976-03-13,10.0
1976-03-14,10.0
1976-03-15,16.0
1976-03-16,21.0
1976-03-17,17.0
1976-03-18,17.0
1976-03-19,15.0
1976-03-20,19.0
1976-03-21,17.0
1976-03-22,15.0
1976-03-23,12.0
1976-03-24,17.0
1976-03-25,16.0
1976-03-26,16.0
1976-03-27,16.0
1976-03-28,12.0
1976-03-29,11.0
1976-03-30,10.0
1976-03-31,10.0
1976-04-01,10.0
1976-04-02,11.0
1976-04-03,12.0
1976-04-04,13.0
1976-04-05,17.0
1976-04-06,17.0
1976-04-07,14.0
1976-04-08,11.0
1976-04-09,9.4
1976-04-10,7.2
1976-04-11,6.2
1976-04-12,7.6
1976-04-13,11.0
1976-04-14,10.0
1976-04-15,11.0
1976-04-16,12.0
1976-04-17,11.0
1976-04-18,11.0
1976-04-19,13.0
1976-04-20,11.0
1976-04-21,9.4
1976-04-22,8.6
1976-04-23,8.6
1976-04-24,9.9
1976-04-25,13.0
1976-04-26,10.0
1976-04-27,12.0
1976-04-28,12.0
1976-04-29,10.0
1976-04-30,9.4
1976-05-01,8.6
1976-05-02,9.0
1976-05-03,12.0
1976-05-04,13.0
1976-05-05,13.0
1976-05-06,16.0
1976-05-07,15.0
1976-05-08,16.0
1976-05-09,16.0
1976-05-10,16.0
1976-05-11,16.0
1976-05-12,16.0
1976-05-13,13.0
1976-05-14,8.6
1976-05-15,8.6
1976-05-16,10.0
1976-05-17,9.4
1976-05-18,9.4
1976-05-19,9.4
1976-05-20,12.0
1976-05-21,13.0
1976-05-22,12.0
1976-05-23,12.0
1976-05-24,12.0
1976-05-25,11.0
1976-05-26,13.0
1976-05-27,12.0
1976-05-28,9.9
1976-05-29,9.4
1976-05-30,9.9
1976-05-31,10.0
1976-06-01,11.0
1976-06-02,12.0
1976-06-03,12.0
1976-06-04,13.0
1976-06-05,12.0
1976-06-06,12.0
1976-06-07,20.0
1976-06-08,24.0
1976-06-09,16.0
1976-06-10,11.0
1976-06-11,11.0
1976-06-12,12.0
1976-06-13,13.0
1976-06-14,13.0
1976-06-15,13.0
1976-06-16,13.0
1976-06-17,13.0
1976-06-18,10.0
1976-06-19,7.6
1976-06-20,7.6
1976-06-21,7.6
1976-06-22,7.6
1976-06-23,6.9
1976-06-24,7.6
1976-06-25,8.1
1976-06-26,7.6
1976-06-27,7.6
1976-06-28,7.6
1976-06-29,7.2
1976-06-30,8.6
1976-07-01,8.6
1976-07-02,8.1
1976-07-03,7.6
1976-07-04,7.6
1976-07-05,7.6
1976-07-06,7.6
1976-07-07,9.0
1976-07-08,7.6
1976-07-09,6.9
1976-07-10,6.5
1976-07-11,24.0
1976-07-12,82.0
1976-07-13,36.0
1976-07-14,22.0
1976-07-15,18.0
1976-07-16,17.0
1976-07-17,15.0
1976-07-18,13.0
1976-07-19,13.0
1976-07-20,11.0
1976-07-21,12.0
1976-07-22,15.0
1976-07-23,13.0
1976-07-24,10.0
1976-07-25,11.0
1976-07-26,29.0
1976-07-27,100.0
1976-07-28,25.0
1976-07-29,15.0
1976-07-30,12.0
1976-07-31,11.0
1976-08-01,116.0
1976-08-02,219.0
1976-08-03,82.0
1976-08-04,44.0
1976-08-05,19.0
1976-08-06,12.0
1976-08-07,15.0
1976-08-08,8.1
1976-08-09,6.9
1976-08-10,12.0
1976-08-11,14.0
1976-08-12,13.0
1976-08-13,11.0
1976-08-14,11.0
1976-08-15,11.0
1976-08-16,9.9
1976-08-17,9.0
1976-08-18,8.6
1976-08-19,95.0
1976-08-20,544.0
1976-08-21,255.0
1976-08-22,63.0
1976-08-23,26.0
1976-08-24,14.0
1976-08-25,8.6
1976-08-26,6.2
1976-08-27,5.6
1976-08-28,5.6
1976-08-29,5.6
1976-08-30,8.1
1976-08-31,8.6
1976-09-01,9.9
1976-09-02,9.9
1976-09-03,9.9
1976-09-04,9.9
1976-09-05,9.4
1976-09-06,9.9
1976-09-07,9.9
1976-09-08,9.9
1976-09-09,10.0
1976-09-10,10.0
1976-09-11,11.0
1976-09-12,11.0
1976-09-13,10.0
1976-09-14,9.0
1976-09-15,8.1
1976-09-16,9.4
1976-09-17,9.9
1976-09-18,13.0
1976-09-19,13.0
1976-09-20,13.0
1976-09-21,14.0
1976-09-22,18.0
1976-09-23,28.0
1976-09-24,63.0
1976-09-25,115.0
1976-09-26,167.0
1976-09-27,80.0
1976-09-28,58.0
1976-09-29,42.0
1976-09-30,31.0
1976-10-01,25.0
1976-10-02,20.0
1976-10-03,20.0
1976-10-04,23.0
1976-10-05,24.0
1976-10-06,23.0
1976-10-07,24.0
1976-10-08,22.0
1976-10-09,22.0
1976-10-10,22.0
1976-10-11,22.0
1976-10-12,23.0
1976-10-13,24.0
1976-10-14,25.0
1976-10-15,24.0
1976-10-16,22.0
1976-10-17,22.0
1976-10-18,22.0
1976-10-19,24.0
1976-10-20,24.0
1976-10-21,20.0
1976-10-22,20.0
1976-10-23,20.0
1976-10-24,23.0
1976-10-25,24.0
1976-10-26,22.0
1976-10-27,20.0
1976-10-28,20.0
1976-10-29,21.0
1976-10-30,21.0
1976-10-31,21.0
1976-11-01,24.0
1976-11-02,24.0
1976-11-03,23.0
1976-11-04,23.0
1976-11-05,24.0
1976-11-06,21.0
1976-11-07,21.0
1976-11-08,22.0
1976-11-09,24.0
1976-11-10,25.0
1976-11-11,24.0
1976-11-12,24.0
1976-11-13,29.0
1976-11-14,30.0
1976-11-15,32.0
1976-11-16,32.0
1976-11-17,26.0
1976-11-18,23.0
1976-11-19,24.0
1976-11-20,28.0
1976-11-21,28.0
1976-11-22,25.0
1976-11-23,25.0
1976-11-24,27.0
1976-11-25,26.0
1976-11-26,28.0
1976-11-27,27.0
1976-11-28,29.0
1976-11-29,31.0
1976-11-30,28.0
1976-12-01,32.0
1976-12-02,25.0
1976-12-03,28.0
1976-12-04,26.0
1976-12-05,26.0
1976-12-06,24.0
1976-12-07,27.0
1976-12-08,26.0
1976-12-09,24.0
1976-12-10,23.0
1976-12-11,26.0
1976-12-12,23.0
1976-12-13,20.0
1976-12-14,19.0
1976-12-15,18.0
1976-12-16,18.0
1976-12-17,19.0
1976-12-18,20.0
1976-12-19,20.0
1976-12-20,19.0
1976-12-21,19.0
1976-12-22,19.0
1976-12-23,20.0
1976-12-24,19.0
1976-12-25,19.0
1976-12-26,19.0
1976-12-27,19.0
1976-12-28,18.0
1976-12-29,19.0
1976-12-30,18.0
1976-12-31,18.0
1977-01-01,16.0
1977-01-02,18.0
1977-01-03,20.0
1977-01-04,18.0
1977-01-05,16.0
1977-01-06,16.0
1977-01-07,18.0
1977-01-08,14.0
1977-01-09,18.0
1977-01-10,24.0
1977-01-11,20.0
1977-01-12,22.0
1977-01-13,23.0
1977-01-14,22.0
1977-01-15,21.0
1977-01-16,23.0
1977-01-17,22.0
1977-01-18,20.0
1977-01-19,14.0
1977-01-20,14.0
1977-01-21,14.0
1977-01-22,13.0
1977-01-23,13.0
1977-01-24,13.0
1977-01-25,13.0
1977-01-26,13.0
1977-01-27,14.0
1977-01-28,14.0
1977-01-29,13.0
1977-01-30,13.0
1977-01-31,11.0
1977-02-01,13.0
1977-02-02,10.0
1977-02-03,10.0
1977-02-04,10.0
1977-02-05,9.8
1977-02-06,9.8
1977-02-07,9.5
1977-02-08,9.5
1977-02-09,9.0
1977-02-10,8.8
1977-02-11,8.9
1977-02-12,9.1
1977-02-13,9.1
1977-02-14,9.0
1977-02-15,9.0
1977-02-16,9.0
1977-02-17,8.9
1977-02-18,8.7
1977-02-19,8.7
1977-02-20,8.8
1977-02-21,10.0
1977-02-22,17.0
1977-02-23,14.0
1977-02-24,16.0
1977-02-25,14.0
1977-02-26,14.0
1977-02-27,13.0
1977-02-28,12.0
1977-03-01,11.0
1977-03-02,10.0
1977-03-03,17.0
1977-03-04,16.0
1977-03-05,17.0
1977-03-06,16.0
1977-03-07,18.0
1977-03-08,15.0
1977-03-09,15.0
1977-03-10,11.0
1977-03-11,11.0
1977-03-12,12.0
1977-03-13,11.0
1977-03-14,11.0
1977-03-15,9.2
1977-03-16,8.4
1977-03-17,7.9
1977-03-18,7.9
1977-03-19,8.2
1977-03-20,8.0
1977-03-21,8.2
1977-03-22,8.3
1977-03-23,7.4
1977-03-24,7.4
1977-03-25,7.6
1977-03-26,7.6
1977-03-27,7.4
1977-03-28,7.3
1977-03-29,9.3
1977-03-30,9.7
1977-03-31,9.2
1977-04-01,9.0
1977-04-02,9.5
1977-04-03,13.0
1977-04-04,11.0
1977-04-05,9.8
1977-04-06,7.2
