,Elevation (ft),Capacity (ac-ft),Area (ac)
0,5775.0,0.0,491.58
1,5775.01,4.92,491.72
2,5775.02,9.83,491.85
3,5775.03,14.75,491.99
4,5775.04,19.67,492.12
5,5775.05,24.6,492.26
6,5775.06,29.52,492.39
7,5775.07,34.44,492.53
8,5775.08,39.37,492.66
9,5775.09,44.3,492.79
10,5775.1,49.23,492.93
11,5775.110000000001,54.16,493.06
12,5775.120000000001,59.09,493.2
13,5775.13,64.02,493.33
14,5775.14,68.96,493.47
15,5775.150000000001,73.89,493.6
16,5775.160000000001,78.83,493.74
17,5775.17,83.77,493.87
18,5775.18,88.71,494.01
19,5775.1900000000005,93.65,494.14
20,5775.2,98.59,494.28
21,5775.21,103.54,494.41
22,5775.22,108.48,494.55
23,5775.23,113.43,494.68
24,5775.24,118.38,494.82
25,5775.25,123.33,494.95
26,5775.26,128.28,495.09
27,5775.2699999999995,133.23,495.22
28,5775.28,138.19,495.35
29,5775.29,143.14,495.49
30,5775.3,148.1,495.62
31,5775.31,153.06,495.76
32,5775.320000000001,158.02,495.89
33,5775.33,162.98,496.03
34,5775.34,167.94,496.16
35,5775.35,172.9,496.3
36,5775.360000000001,177.87,496.43
37,5775.37,182.83,496.57
38,5775.38,187.8,496.7
39,5775.39,192.77,496.84
40,5775.4,197.74,496.97
41,5775.41,202.71,497.11
42,5775.42,207.69,497.24
43,5775.429999999999,212.66,497.38
44,5775.44,217.64,497.51
45,5775.45,222.61,497.65
46,5775.46,227.59,497.78
47,5775.469999999999,232.57,497.92
48,5775.48,237.56,498.05
49,5775.49,242.54,498.18
50,5775.5,247.52,498.32
51,5775.51,252.51,498.45
52,5775.52,257.5,498.59
53,5775.53,262.48,498.72
54,5775.54,267.47,498.86
55,5775.55,272.47,498.99
56,5775.56,277.46,499.13
57,5775.57,282.45,499.26
58,5775.58,287.45,499.4
59,5775.59,292.45,499.53
60,5775.6,297.44,499.67
61,5775.610000000001,302.44,499.8
62,5775.620000000001,307.44,499.94
63,5775.63,312.45,500.07
64,5775.64,317.45,500.21
65,5775.650000000001,322.46,500.34
