Navajo Dam monthly
https://www.eia.gov/electricity/data/browser/#/plant/584/?freq=M&pin=
17:27:35 GMT-0600 (Mountain Daylight Time)
Data source: U.S. Energy Information Administration
Month,Net generation-all primemovers-all fuels megawatthours
Feb 2025,
Jan 2025,
Dec 2024,
Nov 2024,
Oct 2024,
Sep 2024,
Aug 2024,
Jul 2024,
Jun 2024,
May 2024,
Apr 2024,
Mar 2024,
Feb 2024,
Jan 2024,
Dec 2023,5499
Nov 2023,4653
Oct 2023,8425
Sep 2023,12834
Aug 2023,11869
Jul 2023,9213
Jun 2023,14639
May 2023,6038
Apr 2023,5640
Mar 2023,3639
Feb 2023,4231
Jan 2023,4713
Dec 2022,4713.237
Nov 2022,5673.294
Oct 2022,4275.284
Sep 2022,5232.389
Aug 2022,6461.66
Jul 2022,7794.09
Jun 2022,7353.967
May 2022,8253.874
Apr 2022,7310.138
Mar 2022,7744.06
Feb 2022,5813.442
Jan 2022,6715.565
Dec 2021,5017.505
Nov 2021,5022.218
Oct 2021,4863.482
Sep 2021,5729.038
Aug 2021,7228.389
Jul 2021,7627.775
Jun 2021,7609.562
May 2021,8231.98
Apr 2021,8053.906
Mar 2021,7986.249
Feb 2021,6153.55
Jan 2021,6773.346
Dec 2020,8053.096
Nov 2020,8671.733
Oct 2020,8896.174
Sep 2020,8131.7
Aug 2020,11194.791
Jul 2020,11119.343
Jun 2020,10974.066
May 2020,11266.095
Apr 2020,9904.171
Mar 2020,8803.623
Feb 2020,8462.008
Jan 2020,8034.2
Dec 2019,3319.744
Nov 2019,3862.08
Oct 2019,4139.289
Sep 2019,4669.189
Aug 2019,5832.591
Jul 2019,6116.649
Jun 2019,5544.147
May 2019,5570.54
Apr 2019,5269.028
Mar 2019,4864.91
Feb 2019,4367.364
Jan 2019,4160.469
Dec 2018,5174.68
Nov 2018,5284.239
Oct 2018,5506.076
Sep 2018,5966.886
Aug 2018,7283.368
Jul 2018,7414.368
Jun 2018,7735.372
May 2018,7867.232
Apr 2018,7738.933
Mar 2018,7473.929
Feb 2018,6518.424
Jan 2018,6036.493
Dec 2017,6140.174
Nov 2017,6153.146
Oct 2017,5636.303
Sep 2017,5847.831
Aug 2017,7387.502
Jul 2017,8015.649
Jun 2017,7380.447
May 2017,7039.863
Apr 2017,6974.877
Mar 2017,7191.792
Feb 2017,5310.336
Jan 2017,6147.08
Dec 2016,8670.428
Nov 2016,8024.57
