EIA_ID,plant,state,year,month,EIA_obs_freq,RectifHyd_method,EIA_fraction,EIA_MWh,RectifHyd_fraction,RectifHyd_MWh,recommended_data,smoothed,scaled,imputed
584,Navajo Dam,NM,2001,Jan,not noted,release,0.0865,12135.446,0.0391,5481.9748,RectifHyd,True,False,False
584,Navajo Dam,NM,2001,Feb,not noted,release,0.08,11223.781,0.0476,6671.0319,RectifHyd,True,False,False
584,Navajo Dam,NM,2001,Mar,not noted,release,0.0771,10815.249,0.0797,11182.0693,RectifHyd,True,False,False
584,Navajo Dam,NM,2001,Apr,not noted,release,0.068,9538.111,0.1146,16077.9039,RectifHyd,True,False,False
584,Navajo Dam,NM,2001,May,not noted,release,0.0934,13094.592,0.139,19499.7506,RectifHyd,True,False,False
584,Navajo Dam,NM,2001,Jun,not noted,release,0.0909,12751.364,0.1505,21106.529,RectifHyd,True,False,False
584,Navajo Dam,NM,2001,Jul,not noted,release,0.0993,13932.819,0.1278,17929.8734,RectifHyd,True,False,False
584,Navajo Dam,NM,2001,Aug,not noted,release,0.0864,12120.294,0.0967,13563.2002,RectifHyd,True,False,False
584,Navajo Dam,NM,2001,Sep,not noted,release,0.0778,10914.611,0.0683,9584.9373,RectifHyd,True,False,False
584,Navajo Dam,NM,2001,Oct,not noted,release,0.0819,11487.703,0.0539,7554.9394,RectifHyd,True,False,False
584,Navajo Dam,NM,2001,Nov,not noted,release,0.074,10378.994,0.0452,6337.357,RectifHyd,True,False,False
584,Navajo Dam,NM,2001,Dec,not noted,release,0.0846,11859.037,0.0375,5262.4342,RectifHyd,True,False,False
584,Navajo Dam,NM,2002,Jan,not noted,release,0.0763,9233.277,0.0682,8252.3809,RectifHyd,False,False,False
584,Navajo Dam,NM,2002,Feb,not noted,release,0.0704,8509.773,0.0682,8252.3809,RectifHyd,False,False,False
584,Navajo Dam,NM,2002,Mar,not noted,release,0.0826,9991.173,0.0706,8540.4097,RectifHyd,False,False,False
584,Navajo Dam,NM,2002,Apr,not noted,release,0.0833,10070.447,0.1014,12267.7069,RectifHyd,False,False,False
584,Navajo Dam,NM,2002,May,not noted,release,0.0869,10511.285,0.1136,13744.1962,RectifHyd,False,False,False
584,Navajo Dam,NM,2002,Jun,not noted,release,0.0961,11622.864,0.1093,13224.1228,RectifHyd,False,False,False
584,Navajo Dam,NM,2002,Jul,not noted,release,0.0963,11647.483,0.116,14029.0147,RectifHyd,False,False,False
584,Navajo Dam,NM,2002,Aug,not noted,release,0.0718,8689.614,0.1111,13443.3735,RectifHyd,False,False,False
584,Navajo Dam,NM,2002,Sep,not noted,release,0.0902,10904.109,0.0783,9468.2386,RectifHyd,False,False,False
584,Navajo Dam,NM,2002,Oct,not noted,release,0.0867,10485.511,0.0676,8178.9071,RectifHyd,False,False,False
584,Navajo Dam,NM,2002,Nov,not noted,release,0.0809,9783.892,0.0478,5776.6339,RectifHyd,False,False,False
584,Navajo Dam,NM,2002,Dec,not noted,release,0.0786,9504.571,0.0478,5776.6339,RectifHyd,False,False,False
584,Navajo Dam,NM,2003,Jan,not noted,release,0.0856,5726.174,0.0665,4447.0129,RectifHyd,False,False,False
584,Navajo Dam,NM,2003,Feb,not noted,release,0.0734,4912.749,0.0665,4447.0129,RectifHyd,False,False,False
584,Navajo Dam,NM,2003,Mar,not noted,release,0.0792,5298.953,0.0665,4447.0129,RectifHyd,False,False,False
584,Navajo Dam,NM,2003,Apr,not noted,release,0.0803,5373.585,0.0674,4511.1813,RectifHyd,False,False,False
584,Navajo Dam,NM,2003,May,not noted,release,0.0889,5949.157,0.0775,5184.7558,RectifHyd,False,False,False
