Date,Elevation (feet),Storage (af),Evaporation (af),Inflow** (cfs),Modified Unregulated Inflow^ (cfs),Total Release (cfs),,,,
7-Jun-67,5966.87,506159,63,3733, ,304, , , , 
8-Jun-67,5967.77,511433,64,2995, ,304, , , , 
9-Jun-67,5968.58,516180,65,2730, ,304, , , , 
10-Jun-67,5969.33,520575,66,2553, ,304, , , , 
11-Jun-67,5969.85,523622,67,1874, ,304, , , , 
12-Jun-67,5970.38,526955,68,2018, ,304, , , , 
13-Jun-67,5970.8,529667,69,1706, ,304, , , , 
14-Jun-67,5971.3,532897,69,1968, ,304, , , , 
15-Jun-67,5971.79,536064,70,1936, ,304, , , , 
16-Jun-67,5972.21,538777,71,1708, ,304, , , , 
17-Jun-67,5972.6,541297,71,1611, ,304, , , , 
18-Jun-67,5973,543880,71,1643, ,304, , , , 
19-Jun-67,5973.63,547950,72,2392, ,304, , , , 
20-Jun-67,5974.32,552407,72,2588, ,304, , , , 
21-Jun-67,5974.91,556220,72,2263, ,304, , , , 
22-Jun-67,5975.4,559384,73,1936, ,304, , , , 
23-Jun-67,5975.87,562421,74,1873, ,304, , , , 
24-Jun-67,5976.26,564939,74,1611, ,304, , , , 
25-Jun-67,5976.59,567071,74,1417, ,304, , , , 
26-Jun-67,5976.89,569011,75,1320, ,304, , , , 
27-Jun-67,5977.15,570689,75,1188, ,304, , , , 
28-Jun-67,5977.39,572241,75,1125, ,304, , , , 
29-Jun-67,5977.58,573468,76,961, ,304, , , , 
30-Jun-67,5977.74,574502,76,864, ,304, , , , 
1-Jul-67,5977.88,575405,76,797, ,304, , , , 
2-Jul-67,5978.04,576439,76,864, ,304, , , , 
3-Jul-67,5978.17,577278,76,766, ,304, , , , 
4-Jul-67,5978.26,577859,76,635, ,304, , , , 
5-Jul-67,5978.35,578442,77,637, ,304, , , , 
6-Jul-67,5978.44,579022,77,629, ,298, , , , 
7-Jul-67,5978.53,579603,77,636, ,304, , , , 
8-Jul-67,5978.61,580120,77,604, ,304, , , , 
