year,sj_farmington_af,proxy_sum_af,n_days
1955,857904.7932239979,910713.5204866036,365
1956,858985.7849593279,898452.8923897799,366
1957,2682781.487089106,2694146.776343126,365
1958,2151012.892149706,2189222.478919242,365
1959,705939.173418414,733019.3056446286,365
1960,1619994.049276278,1623062.4790277558,366
1961,1245762.6443893278,1265192.7270302319,365
1962,1402161.322045302,1431334.214601694,365
1963,521186.77675961,584639.999887944,365
1964,716167.933747032,740558.67754401,366
1965,2401291.2392091737,2424170.578047764,365
1966,1397289.917087558,1446747.7683177479,365
1967,676766.280862022,710401.983334914,365
1968,941442.644447656,943201.983290294,366
1969,1764337.18974448,1782831.074038456,365
1970,1406616.198077506,1396873.388162018,365
1971,1042036.3634366399,1095137.851029768,365
1972,1087287.272518876,1095966.9419387,366
1973,2463629.75159392,2598186.445783006,365
1974,849774.545291672,903046.611397164,365
1975,1895313.718644996,1962678.3467312579,365
1976,1008844.9584843239,1094552.727062938,366
1977,580811.900715124,598608.1982323742,365
1978,981524.6279110479,967604.6279137159,365
1979,2638819.83420497,2752268.429224548,365
1980,1845596.032704112,1924760.3302095998,366
1981,847832.7271102259,925289.256021,365
1982,1511884.9583879078,1549273.388132808,365
1983,1829492.2310543058,1916891.9004590418,365
1984,1814221.4872555798,1885315.040960962,366
1985,2719719.6689002076,2800359.668884752,365
1986,2490942.1482829,2471432.726799036,365
1987,2516981.156542372,2532099.1730684,365
1988,904137.5204878639,931128.594862856,366
1989,783586.115552292,857397.024629054,365
1990,752794.7105995159,805943.80149842,365
1991,1000425.1237751939,1021953.71881239,365
1992,1354296.198087534,1402805.950144352,366
1993,2131029.421079156,2131354.710335292,365
1994,1395960.9914679779,1414907.107166826,365
1995,2080667.1070392218,2071654.2144789658,365
1996,870394.710576976,827247.9072794606,366
1997,1930163.3054151759,1908575.20624576,365
1998,1448544.7931107918,1338771.569991336,365
1999,1833346.1153510879,1742334.5451205978,365
2000,818546.7767026159,892632.396523127,366
2001,1159943.80143057,1226107.4377815248,365
2002,537964.958574576,575480.1122863939,365
2003,607959.6693049619,647024.4296280531,365
2004,768374.8758857859,842429.3552104351,366
2005,1591114.710438838,1613557.685641148,365
2006,911468.429577368,990263.801463092,365
2007,1258401.322072856,1326932.23115063,365
2008,1815300.495519836,1868556.693856736,366
2009,937904.13205164,1000370.3799735515,365
2010,812241.3221583699,806214.7436471283,365
2011,911400.9915608519,942861.818001103,365
2012,786073.388279088,799817.851086371,366
2013,611698.5122794519,644015.4048352414,365
2014,782751.074230138,777663.470925328,365
2015,878838.3469389939,919122.4461048265,365
2017,1417358.67741429,1395105.9170879766,365
2018,499447.93378857,536911.3784094886,365
2019,1314245.950161326,1336631.40470249,365
2023,1203673.388199048,1188838.8096894945,365
