structure,metric,mon_num,month,mean,p10,p90,std,n_years
Bloomfield,pct_all_days,1,Jan,12.742096774193548,9.359935483870968,16.024,3.7601057680269987,4
Bloomfield,pct_all_days,2,Feb,12.757980295566503,6.945389162561576,18.198,5.629998333345084,5
Bloomfield,pct_all_days,3,Mar,14.20174193548387,11.195612903225806,17.644000000000002,3.196669081309579,5
Bloomfield,pct_all_days,4,Apr,25.204,13.004,37.928,12.237427425729642,5
Bloomfield,pct_all_days,5,May,37.773806451612906,14.37341935483871,57.266000000000005,21.413370857425214,5
Bloomfield,pct_all_days,6,Jun,31.6972,9.4428,47.844,20.084929803213154,5
Bloomfield,pct_all_days,7,Jul,25.946322580645166,10.458967741935485,41.588,15.689223388054979,5
Bloomfield,pct_all_days,8,Aug,23.866,15.718,30.232,7.349260507017014,5
Bloomfield,pct_all_days,9,Sep,26.051866666666665,13.1116,37.056,12.021492035332201,5
Bloomfield,pct_all_days,10,Oct,27.76348387096774,13.214451612903225,42.616,14.49963812817668,5
Bloomfield,pct_all_days,11,Nov,14.3328,9.3484,18.253999999999998,4.856007537061696,5
Bloomfield,pct_all_days,12,Dec,14.303118279569892,12.597225806451611,16.66741935483871,2.9160451981478883,3
Bloomfield,pct_diverting_days,1,Jan,14.1625,11.908,16.495,2.4871452845916875,4
Bloomfield,pct_diverting_days,2,Feb,14.595999999999998,11.288,18.198,3.441791684573603,5
Bloomfield,pct_diverting_days,3,Mar,14.998000000000001,12.540000000000001,17.644000000000002,2.518952163102745,5
Bloomfield,pct_diverting_days,4,Apr,25.363999999999997,13.484,37.928,12.0117038758038,5
Bloomfield,pct_diverting_days,5,May,38.128,15.436,57.266000000000005,20.829451985109927,5
Bloomfield,pct_diverting_days,6,Jun,32.356,10.932,47.844,19.48098893793639,5
Bloomfield,pct_diverting_days,7,Jul,26.766000000000002,12.918,41.588,14.328305203337901,5
Bloomfield,pct_diverting_days,8,Aug,23.866,15.718,30.232,7.349260507017014,5
Bloomfield,pct_diverting_days,9,Sep,26.377999999999997,14.09,37.056,11.508654135041162,5
Bloomfield,pct_diverting_days,10,Oct,27.976,13.852,42.616,14.17687835879253,5
Bloomfield,pct_diverting_days,11,Nov,15.180000000000001,11.89,18.253999999999998,3.2047542807522698,5
Bloomfield,pct_diverting_days,12,Dec,14.883333333333333,13.466,16.842000000000002,2.4136555954264356,3
Hammond,pct_all_days,1,Jan,4.7,0.0,11.280000000000001,8.140638795573723,3
Hammond,pct_all_days,2,Feb,4.8243678160919545,0.0,11.57848275862069,8.35605017187137,3
Hammond,pct_all_days,3,Mar,3.016559139784946,0.0,7.23974193548387,5.224833694143793,3
Hammond,pct_all_days,4,Apr,7.71825,6.0328333333333335,9.369733333333334,1.802337687252001,4
Hammond,pct_all_days,5,May,5.106854838709678,3.7232903225806453,6.639387096774194,1.5965075779369133,4
Hammond,pct_all_days,6,Jun,7.7065,1.5414000000000003,13.064,6.318609841834937,4
Hammond,pct_all_days,7,Jul,7.735,5.017806451612904,10.066258064516129,2.9733514715370783,4
Hammond,pct_all_days,8,Aug,7.784677419354838,2.4960000000000004,12.262,5.364527731965544,4
Hammond,pct_all_days,9,Sep,6.482166666666667,2.6494333333333335,9.514500000000002,3.9614153708921696,4
Hammond,pct_all_days,10,Oct,9.863333333333333,8.072258064516129,11.67458064516129,2.2518751657348637,3
Hammond,pct_all_days,11,Nov,9.432222222222222,2.6933333333333334,14.760000000000002,8.136992573927309,3
Hammond,pct_all_days,12,Dec,0.0,0.0,0.0,0.0,2
Hammond,pct_diverting_days,1,Jan,4.7,0.0,11.280000000000001,8.140638795573723,3
Hammond,pct_diverting_days,2,Feb,4.996666666666667,0.0,11.992,8.65448053515249,3
Hammond,pct_diverting_days,3,Mar,3.5966666666666662,0.0,8.632,6.2296094045560615,3
Hammond,pct_diverting_days,4,Apr,9.057500000000001,6.719,10.97,2.3999774304494337,4
Hammond,pct_diverting_days,5,May,6.4875,5.226,7.247,1.3679516316985285,4
Hammond,pct_diverting_days,6,Jun,7.9175,1.9890000000000003,13.064,6.071608106589225,4
Hammond,pct_diverting_days,7,Jul,9.4075,8.224,10.797,1.4121231060593358,4
Hammond,pct_diverting_days,8,Aug,10.655,8.902,12.496,2.0066971204776594,4
Hammond,pct_diverting_days,9,Sep,10.5675,9.106,12.503000000000002,2.069047687544523,4
Hammond,pct_diverting_days,10,Oct,11.103333333333333,9.916,12.052,1.4315143496777574,3
Hammond,pct_diverting_days,11,Nov,12.396666666666668,3.670000000000001,19.062,10.604811800938919,3
Hammond,pct_diverting_days,12,Dec,0.0,0.0,0.0,0.0,2
