year,month,Hammond_pct,Hammond_days,Turley_pct,Turley_days,Bloomfield_pct,Bloomfield_days
2005,Jan,,,,,8.52,28
2005,Feb,,,,,16.67,20
2005,Mar,,,3.24,14.0,16.65,31
2005,Apr,1.34,12.0,10.88,17.0,24.52,29
2005,May,1.26,31.0,2.5,21.0,5.69,21
2005,Jun,1.52,30.0,5.07,30.0,10.56,30
2005,Jul,6.22,31.0,14.2,31.0,29.11,31
2005,Aug,10.52,29.0,15.06,19.0,28.7,31
2005,Sep,13.9,29.0,14.14,16.0,24.19,30
2005,Oct,6.51,30.0,11.93,13.0,20.37,28
2005,Nov,8.66,7.0,11.19,30.0,9.25,10
2005,Dec,,,,,12.02,23
2006,Jan,,,,,12.06,30
2006,Feb,,,,,12.72,28
2006,Mar,,,,,10.57,31
2006,Apr,5.73,23.0,19.18,17.0,22.7,13
2006,May,5.25,31.0,16.69,31.0,33.49,31
2006,Jun,5.79,30.0,7.87,30.0,17.29,30
2006,Jul,11.85,28.0,9.61,31.0,21.57,31
2006,Aug,8.43,30.0,11.76,31.0,27.4,31
2006,Sep,10.78,30.0,12.99,30.0,29.45,30
2006,Oct,5.41,27.0,14.12,15.0,28.55,31
2006,Nov,0.15,7.0,11.11,16.0,16.15,30
2006,Dec,19.54,2.0,14.74,23.0,14.38,31
2007,Jan,,,,,14.04,30
2007,Feb,,,,,11.11,6
2007,Mar,,,,,10.06,31
2007,Apr,5.71,27.0,8.89,19.0,18.27,30
2007,May,2.02,31.0,2.81,31.0,6.31,31
2007,Jun,3.87,30.0,6.11,30.0,13.4,30
2007,Jul,8.33,31.0,9.66,31.0,22.11,31
2007,Aug,8.91,22.0,0.19,19.0,20.57,22
2007,Sep,7.58,30.0,0.19,29.0,16.09,30
2007,Oct,8.74,15.0,0.33,24.0,16.0,31
2007,Nov,9.08,7.0,0.26,26.0,9.28,30
2007,Dec,,,0.23,31.0,10.58,31
2008,Jan,,,0.19,31.0,6.36,31
2008,Feb,,,0.1,26.0,3.72,27
2008,Mar,,,0.04,27.0,1.75,31
2008,Apr,2.71,19.0,0.07,28.0,5.28,30
2008,May,3.56,31.0,0.09,31.0,7.13,31
