total_reward,mean_reward,sum_rc_dam_safety.spill_guard_warn98,mean_rc_dam_safety.spill_guard_warn98,sum_rc_storage_control.target_oishift875to90_concave0_softupper98,mean_rc_storage_control.target_oishift875to90_concave0_softupper98,sum_rc_hydropower.positive_discretionary_efficiency,mean_rc_hydropower.positive_discretionary_efficiency,sum_rc_flooding.penalty_caps_jon,mean_rc_flooding.penalty_caps_jon,sum_rc_niip.delivery_match_historic_hardmeet_b10oversoft_neg1_logoff025_jon,mean_rc_niip.delivery_match_historic_hardmeet_b10oversoft_neg1_logoff025_jon,sum_rc_esa_min_flow.green_logistic_jon,mean_rc_esa_min_flow.green_logistic_jon,sum_rc_esa_spring_peak_release.farmington_thresholds_actionproxy_smart_ledger_hammer_histfreq_stop_excess_strong,mean_rc_esa_spring_peak_release.farmington_thresholds_actionproxy_smart_ledger_hammer_histfreq_stop_excess_strong,dam_safety_frac_days_within_storage_bounds,esa_min_flow_frac_days_met,flooding_frac_days_met,spr_curve_mean_abs_error_cfs,spr_curve_frac_days_within_500cfs,spr_freq_years_meeting_10000cfs_5d,spr_freq_years_meeting_8000cfs_10d,spr_freq_years_meeting_5000cfs_21d,spr_freq_years_meeting_2500cfs_10d,spr_curve_mean_error_cfs,spr_target_frequency_10000cfs_5d,spr_overachievement_10000cfs_5d,spr_mean_total_window_days_above_10000cfs,spr_mean_frac_window_days_above_10000cfs,spr_target_frequency_8000cfs_10d,spr_overachievement_8000cfs_10d,spr_mean_total_window_days_above_8000cfs,spr_mean_frac_window_days_above_8000cfs,spr_target_frequency_5000cfs_21d,spr_overachievement_5000cfs_21d,spr_mean_total_window_days_above_5000cfs,spr_mean_frac_window_days_above_5000cfs,spr_target_frequency_2500cfs_10d,spr_overachievement_2500cfs_10d,spr_mean_total_window_days_above_2500cfs,spr_mean_frac_window_days_above_2500cfs,hydropower_frac_of_max_possible,storage_frac_of_max_possible,niip_frac_days_demand_met_in_window,niip_annual_volume_frac_of_contract,niip_mean_abs_daily_error_cfs,controlled_sj_waste_af,controlled_sj_waste_frac_of_sj,controlled_sj_unattributed_af,controlled_sj_unattributed_frac_of_sj,policy_dam_safety_score,policy_esa_score,policy_spr_score,policy_niip_contract_score,policy_niip_behavior_score,policy_niip_score,policy_storage_score,policy_hydropower_score,policy_flooding_score,policy_efficiency_score,policy_objective_alignment_score,policy_experiment_diagnostic_score,policy_overall_score,policy_viability_score,dam_safety_frac_days_below_min_storage,dam_safety_frac_days_above_max_storage,dam_safety_max_storage_range_water_year_af,frac_action_0_saturated,frac_action_1_saturated,frac_any_action_saturated,frac_release_capped_or_limited,frac_release_cap_penalty_pos,mean_release_cap_penalty,frac_release_phys_penalty_pos,mean_release_phys_penalty,frac_days_deadpool_blocked,frac_days_spilling,total_spill_af,mean_spill_af_when_spilling,family,seed,run_dir,sum_rc_hydropower.positive_efficiency,mean_rc_hydropower.positive_efficiency,sum_rc_hydropower.positive_soft,mean_rc_hydropower.positive_soft,sum_rc_storage_control.target_peak875_concave0_softupper98,mean_rc_storage_control.target_peak875_concave0_softupper98,sum_rc_storage_control.plateau90to96_concave0_softupper98,mean_rc_storage_control.plateau90to96_concave0_softupper98,pass_storage_frac_of_max_possible,pass_esa_min_flow_frac_days_met,pass_flooding_frac_days_met,pass_spr_freq_years_meeting_10000cfs_5d,pass_spr_freq_years_meeting_8000cfs_10d,pass_spr_freq_years_meeting_5000cfs_21d,pass_spr_freq_years_meeting_2500cfs_10d,pass_hydropower_frac_of_max_possible,pass_niip_annual_volume_frac_of_contract,pass9_excl_niip_daily,no_spill,finish_line
18700.828259362395,4.817317944194332,-0.9521213524555744,-0.0002452656755423,8164.883391376708,2.103267231163501,1639.783267640457,0.4224068180423641,-10.992068078015,-0.0028315476759441,2321.58350712205,0.5980379977130473,6634.181995887386,1.7089598134691877,-47.65971323373287,-0.0122771028422804,0.9927872230808862,0.8894899536321483,0.9678001030396702,2174.4789358587427,0.1704545454545454,0.1818181818181818,0.1818181818181818,0.5454545454545454,1.0,71.32373260526042,0.2,-0.0181818181818181,1.4545454545454546,0.0303030303030303,0.33,-0.1481818181818182,4.181818181818182,0.0871212121212121,0.5,0.0454545454545454,15.363636363636363,0.3200757575757575,0.8,0.1999999999999999,34.54545454545455,0.7196969696969696,0.2895551995842511,0.7697748254508864,0.8995125707146961,1.0758474203407966,111.71903168236015,1496811.605866984,0.3431167850153296,1496811.605866984,0.3431167850153296,1.0,0.8894899536321483,0.5881818181818183,1.0,0.9648293997501436,0.9648293997501436,0.9056174417069252,0.8273005702407175,0.9678001030396702,0.5425109533128938,0.8888723753285896,0.8688170121475339,0.8888723753285896,0.8688170121475339,0.0,0.0072127769191138,601640.9222604446,0.1854714064914992,0.3024214322514168,0.3330757341576507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reward_jon_p95_oishift875to90_hdisceff,seed_000,runs/reward_jon_p95_oishift875to90_hdisceff/seed_000,,,,,,,,,True,False,True,True,True,True,True,False,True,7,True,False
19309.21353571369,4.97403748987988,0.0,0.0,7655.705209182979,1.972103351154812,1665.2154909893811,0.4289581378128236,-14.368558528665456,-0.0037013288327319,2269.993939747671,0.5847485676835834,6760.216528646926,1.7414262052155915,972.4509256754034,0.250502556845802,1.0,1.0,0.9618753219989696,2389.739421273139,0.1287878787878787,0.1818181818181818,0.3636363636363636,0.3636363636363636,0.9090909090909092,60.65728602067312,0.2,-0.0181818181818181,0.9090909090909092,0.0189393939393939,0.33,0.0336363636363636,5.181818181818182,0.1079545454545454,0.5,-0.1363636363636363,13.727272727272728,0.2859848484848485,0.8,0.109090909090909,33.0,0.6874999999999999,0.2971559022651638,0.7109638929878982,0.878705741367525,1.0167760898522455,106.9830688405046,1735385.6783344406,0.3694557451349333,1735385.6783344406,0.3694557451349333,1.0,1.0,0.7027272727272728,1.0,0.9575470094786338,0.9575470094786338,0.8364281093975273,0.8490168636147539,0.9618753219989696,0.5073923398200888,0.9313169139210292,0.9062422766616202,0.9313169139210292,0.9062422766616202,0.0,0.0,583838.9758422832,0.7743431221020093,0.4165378670788253,0.9678001030396702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reward_jon_p95_oishift875to90_hdisceff,seed_001,runs/reward_jon_p95_oishift875to90_hdisceff/seed_001,,,,,,,,,True,True,False,True,True,True,True,False,True,7,True,False
20753.30752943399,5.3460349122704764,0.0,0.0,4923.535732984918,1.2682987462609268,1712.6264061182696,0.4411711504683848,-7.087069169990718,-0.0018256231761954,6747.168430266531,1.7380650258285757,6793.946338965017,1.7501149765494637,583.1176902692439,0.1502106363393209,1.0,1.0,0.9799072642967542,2115.672671729116,0.1931818181818181,0.1818181818181818,0.1818181818181818,0.4545454545454545,1.0,24.347257533082452,0.2,-0.0181818181818181,1.0,0.0208333333333333,0.33,-0.1481818181818182,3.909090909090909,0.0814393939393939,0.5,-0.0454545454545454,14.909090909090908,0.3106060606060606,0.8,0.1999999999999999,38.27272727272727,0.7973484848484848,0.2961081158303688,0.5113744580461413,0.9838475626229448,1.1210578279188832,52.50598141842525,1441137.3120107069,0.3057426143901411,1441137.3120107069,0.3057426143901411,1.0,1.0,0.5881818181818181,1.0,0.9943466469180308,0.9943466469180308,0.6016170094660487,0.8460231880867681,0.9799072642967542,0.5923431808131452,0.9114447839287642,0.8679639165857508,0.9114447839287642,0.8679639165857508,0.0,0.0,686201.7032879754,0.9487377640391552,0.2400824317362184,0.9526017516743946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reward_jon_p95_oishift875to90_hdisceff,seed_002,runs/reward_jon_p95_oishift875to90_hdisceff/seed_002,,,,,,,,,False,True,True,True,True,True,True,False,True,7,True,False
23680.83806880973,6.100164365999416,0.0,0.0,5780.900046189138,1.4891550866020449,1690.811176205625,0.4355515652255604,-10.59010520948097,-0.0027280023723547,8638.73886021275,2.225332009328375,6788.592744980331,1.7487358951520688,792.3853464313701,0.2041178120637223,1.0,1.0,0.975785677485832,2197.194281786661,0.1287878787878787,0.1818181818181818,0.3636363636363636,0.5454545454545454,1.0,62.60865389741957,0.2,-0.0181818181818181,0.9090909090909092,0.0189393939393939,0.33,0.0336363636363636,7.090909090909091,0.1477272727272727,0.5,0.0454545454545454,11.818181818181818,0.2462121212121212,0.8,0.1999999999999999,37.54545454545455,0.7821969696969696,0.2913743933690103,0.5703137787474316,0.983713072830624,1.102080490631671,43.21847882232402,1278411.6057154608,0.2793422469512885,1278411.6057154608,0.2793422469512885,1.0,1.0,0.7027272727272729,1.0,0.9942995754907183,0.9942995754907183,0.6709573867616843,0.832498266768601,0.975785677485832,0.6275436707316153,0.9311212958190824,0.8969153055324883,0.9311212958190824,0.8969153055324883,0.0,0.0,703603.0511573446,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reward_jon_p95_oishift875to90_hdisceff,seed_003,runs/reward_jon_p95_oishift875to90_hdisceff/seed_003,,,,,,,,,False,True,True,True,True,True,True,False,True,7,True,False
21679.7053264288,5.584674221130552,0.0,0.0,7275.937094468498,1.874275397853812,1762.169100219402,0.4539333076299335,-10.434513012534008,-0.0026879219506785,4853.994505418281,1.2503849833638023,6777.652093397777,1.745917592322972,1020.3870459373738,0.2628508619107094,1.0,1.0,0.9724368882019576,2217.955256672218,0.1666666666666666,0.1818181818181818,0.4545454545454545,0.5454545454545454,0.9090909090909092,-71.48994448385906,0.2,-0.0181818181818181,0.9090909090909092,0.0189393939393939,0.33,0.1245454545454545,6.181818181818182,0.1287878787878787,0.5,0.0454545454545454,12.363636363636363,0.2575757575757575,0.8,0.109090909090909,33.09090909090909,0.6893939393939394,0.3055441610534982,0.6812421159190062,0.977137059900554,1.086746379425171,44.9858118258631,1444257.358271235,0.3203372411156783,1444257.358271235,0.3203372411156783,1.0,1.0,0.7027272727272729,1.0,0.9919979709651938,0.9919979709651938,0.8014613128458896,0.8729833172957091,0.9724368882019576,0.5728836785124289,0.9339065154123252,0.9113621902979658,0.9339065154123252,0.9113621902979658,0.0,0.0,664722.6845515221,0.0,0.3941267387944359,0.3941267387944359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reward_jon_p95_oishift875to90_hdisceff,seed_004,runs/reward_jon_p95_oishift875to90_hdisceff/seed_004,,,,,,,,,False,True,True,True,True,True,True,True,True,8,True,False
18161.641028645856,4.678423758023147,0.0,0.0,3645.211662933693,0.9390035195604568,1496.2809360334925,0.3854407357118733,-4.832134282663464,-0.0012447538080019,4423.822898137533,1.1395731319262064,6800.016413246422,1.7516786226806855,1801.1412525773771,0.4639725019519261,1.0,1.0,0.9866048428645028,1918.5561618451216,0.2594696969696969,0.1818181818181818,0.1818181818181818,0.4545454545454545,0.7272727272727273,-452.81268887402433,0.2,-0.0181818181818181,0.9090909090909092,0.0189393939393939,0.33,-0.1481818181818182,2.727272727272727,0.0568181818181818,0.5,-0.0454545454545454,12.272727272727272,0.2556818181818182,0.8,-0.0727272727272727,25.545454545454547,0.5321969696969697,0.2569604904745822,0.4297774765888239,0.8972188733826798,1.24700363873967,105.85920918614278,1313648.3607258254,0.3194238514099821,1313648.3607258254,0.3194238514099821,1.0,1.0,0.7154545454545453,1.0,0.964026605683938,0.964026605683938,0.5056205606927341,0.7341728299273778,0.9866048428645028,0.5741015314533571,0.9268916587927244,0.8724971699365642,0.9268916587927244,0.8724971699365642,0.0,0.0,729973.7993897845,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reward_jon_p95_oishift875to90_hdisceff,seed_005,runs/reward_jon_p95_oishift875to90_hdisceff/seed_005,,,,,,,,,False,True,True,True,True,True,True,False,True,7,True,False
20578.24354262808,5.300938573577557,0.0,0.0,6735.0935634954185,1.7349545501018595,1793.0745188196477,0.4618945179854837,-10.09126192254014,-0.0025995007528439,4795.248980461564,1.2352521845599085,6570.756184836665,1.692621376825519,694.1615569373217,0.1788154448576305,1.0,0.6604842864502833,0.9706336939721792,2077.2728770241856,0.1666666666666666,0.1818181818181818,0.2727272727272727,0.5454545454545454,1.0,221.0387083556729,0.2,-0.0181818181818181,0.9090909090909092,0.0189393939393939,0.33,-0.0572727272727273,5.636363636363637,0.1174242424242424,0.5,0.0454545454545454,14.272727272727272,0.2973484848484848,0.8,0.1999999999999999,40.63636363636363,0.8465909090909091,0.3119081714010026,0.6380989942274212,0.985409891554169,1.0358446915165564,21.337573279034007,1647384.397124539,0.3471626812929781,1647384.397124539,0.3471626812929781,1.0,0.6604842864502833,0.6790909090909092,1.0,0.9948934620439592,0.9948934620439592,0.7507046990910838,0.8911662040028646,0.9706336939721792,0.5371164249426958,0.8685571115306802,0.835054196324891,0.8685571115306802,0.835054196324891,0.0,0.0,641529.213902417,0.0,0.3933539412673879,0.3933539412673879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reward_jon_p95_oishift875to90_hdisceff,seed_006,runs/reward_jon_p95_oishift875to90_hdisceff/seed_006,,,,,,,,,False,False,True,True,True,True,True,True,True,7,True,False
21714.649178487925,5.593675728616158,0.0,0.0,7985.500336952704,2.057058304212443,1480.3817805895076,0.3813451263754527,-12.180843070819977,-0.0031377751341627,6249.824553528275,1.6099496531499935,6540.933667262418,1.684939120881612,-529.8103167741605,-0.1364787008691809,1.0,1.0,0.9657393096342092,2167.9667617253244,0.1609848484848484,0.1818181818181818,0.1818181818181818,0.5454545454545454,1.0,293.1591127239958,0.2,-0.0181818181818181,1.9090909090909087,0.0397727272727272,0.33,-0.1481818181818182,5.545454545454546,0.115530303030303,0.5,0.0454545454545454,13.818181818181818,0.2878787878787878,0.8,0.1999999999999999,38.27272727272727,0.7973484848484848,0.2626933687364811,0.7563052588428664,0.9827052383815332,1.1498777120180146,65.59971297793247,1290949.5679604318,0.3089002258189063,1290949.5679604318,0.3089002258189063,1.0,1.0,0.5881818181818183,1.0,0.9939468334335366,0.9939468334335366,0.8897708927563134,0.7505524821042319,0.9657393096342092,0.5881330322414582,0.9032218843803832,0.8912174091856244,0.9032218843803832,0.8912174091856244,0.0,0.0,585881.8151512144,0.0,0.214064914992272,0.214064914992272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reward_jon_p95_oishift875to90_hdisceff,seed_007,runs/reward_jon_p95_oishift875to90_hdisceff/seed_007,,,,,,,,,True,True,True,True,True,True,True,False,True,8,True,False
23456.56140024089,6.042390881051234,0.0,0.0,6089.705612355767,1.5687031458927787,1631.1845677964022,0.420191800050593,-8.979220039248467,-0.0023130396803834,8134.63391040091,2.0954749897993072,6787.8602246095925,1.7485471985083958,822.1563051174649,0.2117867864805422,1.0,1.0,0.977331272539928,2043.6468049409716,0.2045454545454545,0.1818181818181818,0.3636363636363636,0.5454545454545454,0.8181818181818182,74.1412961162401,0.2,-0.0181818181818181,1.0,0.0208333333333333,0.33,0.0336363636363636,5.454545454545454,0.1136363636363636,0.5,0.0454545454545454,15.727272727272728,0.3276515151515152,0.8,0.0181818181818181,34.54545454545455,0.7196969696969696,0.2804051208920122,0.5941845551331414,0.9808907901431684,1.148789823962115,62.74701163244741,1103233.3871157905,0.2470692722939984,1103233.3871157905,0.2470692722939984,1.0,1.0,0.8845454545454546,1.0,0.9933117765501088,0.9933117765501088,0.6990406530978134,0.8011574882628922,0.977331272539928,0.6705743036080021,0.962219990393545,0.934399949569035,0.962219990393545,0.934399949569035,0.0,0.0,699216.7569073128,0.9685729005667182,0.1360123647604327,0.9685729005667182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reward_jon_p95_oishift875to90_hdisceff,seed_008,runs/reward_jon_p95_oishift875to90_hdisceff/seed_008,,,,,,,,,False,True,True,True,True,True,True,False,True,7,True,False
23398.902126077213,6.027537899556211,0.0,0.0,5082.068942070489,1.3091367702396932,1753.6458470729576,0.451737724645275,-9.87072032958269,-0.0025426894202943,8644.393485229044,2.2267886360713662,6786.695772658774,1.748247236645743,1141.9687993755329,0.2941702213744289,1.0,1.0,0.975785677485832,2157.2532965242863,0.168560606060606,0.1818181818181818,0.3636363636363636,0.5454545454545454,0.9090909090909092,-143.82644422894174,0.2,-0.0181818181818181,0.9090909090909092,0.0189393939393939,0.33,0.0336363636363636,6.0,0.1249999999999999,0.5,0.0454545454545454,12.0,0.25,0.8,0.109090909090909,31.181818181818183,0.6496212121212122,0.3014729958388434,0.5192146418126184,0.9832323776723372,1.1090207667413483,45.98473913156533,1633891.1618148135,0.3494176916295956,1633891.1618148135,0.3494176916295956,1.0,1.0,0.7936363636363638,1.0,0.994131332185318,0.994131332185318,0.6108407550736688,0.8613514166824098,0.975785677485832,0.5341097444938725,0.9499519487292848,0.9104944693801154,0.9499519487292848,0.9104944693801154,0.0,0.0,683821.437135382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reward_jon_p95_oishift875to90_hdisceff,seed_009,runs/reward_jon_p95_oishift875to90_hdisceff/seed_009,,,,,,,,,False,True,True,True,True,True,True,False,True,7,True,False
