spr_base,seed,comparison,shared_treatment,split_treatment,shared_request_active_days,shared_nonrequest_active_days,split_request_active_days,split_nonrequest_active_days,shared_reflex_abs_cfs,split_reflex_abs_cfs,change_reflex_abs_cfs,shared_reflex_signed_cfs,split_reflex_signed_cfs,shared_niip_volume,split_niip_volume,shared_niip_days_met,split_niip_days_met,shared_storage_score,split_storage_score,shared_spr_target_score,split_spr_target_score
req05e125,0,base -> split,base,split,2037,109,440,1706,514.210621239757,80.2500286639353,-433.960592575821,-514.210621239757,80.2500286639353,0.9633036344070092,1.3776231086479234,0.5643875408598146,0.8021782576626975,0.0442570607303554,0.7785415375301565,0.9772727272727272,0.9772727272727272
req05e125,0,niipband_mild -> split_niipband_mild,niipband_mild,split_niipband_mild,2120,26,312,1834,257.665747894766,28.1669440372803,-229.498803857486,-257.665747894766,-28.1669440372803,0.8657086306002925,1.2695049338910558,0.6009822280164282,0.7968928374878712,0.0459333839287026,0.8155934777466973,0.9772727272727272,0.9772727272727272
req05e125,1,base -> split,base,split,546,1600,364,1782,250.226041026948,117.954069440584,-132.271971586364,-250.226041026948,-117.954069440584,1.8610773354109968,1.7769377833457014,0.6909424935624867,0.7842662156667416,0.1965908448587677,0.2890190030261559,0.9772727272727272,0.9772727272727272
req05e125,1,niipband_mild -> split_niipband_mild,niipband_mild,split_niipband_mild,345,1801,1945,201,0.497058516908055,355.385869780974,354.888811264066,-0.497058516908055,-355.385869780974,1.365862061226649,1.625897987124246,0.7749683792225098,0.6711227258907825,0.6955545031923194,0.0773890129570924,0.9772727272727272,0.9772727272727272
req05e125,2,base -> split,base,split,558,1588,392,1754,226.882068101722,39.4874478518731,-187.394620249848,-226.882068101722,-39.4874478518731,1.383758312398289,1.2453553477247568,0.839372620203703,0.8520638333192121,0.7630769963486987,0.7764709304807956,0.9772727272727272,0.9772727272727272
req05e125,2,niipband_mild -> split_niipband_mild,niipband_mild,split_niipband_mild,247,1899,434,1712,91.1751388869357,60.8288523885414,-30.3462864983943,-91.1751388869357,-60.8288523885414,1.2296342821433996,1.0334233306680112,0.8358648325480783,0.7590199695233831,0.8260190104296562,0.8234503589953363,0.9772727272727272,0.9772727272727272
highreq10,0,base -> split,base,split,2003,143,310,1836,229.648928617668,24.1303022673782,-205.51862635029,-229.648928617668,24.1303022673782,1.3453457599336636,1.380042381870276,0.6459867848649608,0.8395792709254171,0.0684875959446945,0.7932011217956214,0.9772727272727272,0.9772727272727272
highreq10,0,niipband_mild -> split_niipband_mild,niipband_mild,split_niipband_mild,2146,0,315,1831,,19.2862731239393,,,-19.2862731239393,0.9642968467824548,1.2362257852582137,0.5292782270154054,0.7990983850532447,0.01753942541196,0.8080655542205835,0.9772727272727272,0.9772727272727272
highreq10,1,base -> split,base,split,2098,48,353,1793,475.182283208684,76.3950569976531,-398.787226211031,-475.182283208684,-76.3950569976531,1.211671269660457,1.9253237643102088,0.5935211128776674,0.7361482683681587,0.0419385353314048,0.1733894758942038,0.9772727272727272,0.9772727272727272
highreq10,1,niipband_mild -> split_niipband_mild,niipband_mild,split_niipband_mild,1973,173,1815,331,249.90901457196,328.40103216506,78.4920175931004,-249.90901457196,-328.40103216506,1.380914616790112,1.166293749196461,0.62828889249374,0.676449052608691,0.0791486445437837,0.1223995742738452,0.9772727272727272,0.9772727272727272
highreq10,2,base -> split,base,split,818,1328,461,1685,53.002560132536,39.9167936973862,-13.0857664351498,-53.002560132536,-39.9167936973862,1.2535719884694416,1.3851416818263895,0.8664144541304754,0.8182131782329534,0.7953970262026145,0.6549118642402277,0.9772727272727272,0.9772727272727272
highreq10,2,niipband_mild -> split_niipband_mild,niipband_mild,split_niipband_mild,270,1876,389,1757,103.658920131497,18.5732701875799,-85.0856499439176,103.658920131497,-18.5732701875799,1.2056309403981764,1.1513302388374171,0.8727622239722318,0.7827179480736824,0.8521354503879275,0.7908409249816075,0.9772727272727272,0.9772727272727272
highreq15,0,base -> split,base,split,802,1344,291,1855,93.1785111245966,4.30195588591634,-88.8765552386803,-93.1785111245966,-4.30195588591634,0.9714298152155288,1.3788884659566418,0.8805325471825595,0.8483606071894262,0.7750064709540118,0.785282518024102,0.9772727272727272,0.9772727272727272
highreq15,0,niipband_mild -> split_niipband_mild,niipband_mild,split_niipband_mild,279,1867,286,1860,205.994532720013,10.2693304244751,-195.725202295538,205.994532720013,-10.2693304244751,1.0740218578046477,1.2176315645299234,0.7788889093898753,0.779468590197035,0.8252520233210396,0.8340540763311828,0.9772727272727272,0.9772727272727272
highreq15,1,base -> split,base,split,2098,48,498,1648,581.626838073398,56.7773868806811,-524.849451192717,-581.626838073398,-56.7773868806811,0.9833679089803252,1.867174485926004,0.5946430592190538,0.7382478420548696,0.0405141098973238,0.1919719352025913,0.9772727272727272,0.9772727272727272
highreq15,1,niipband_mild -> split_niipband_mild,niipband_mild,split_niipband_mild,931,1215,339,1807,7.16583652337415,45.9873848895405,38.8215483661663,7.16583652337415,-45.9873848895405,1.0730214868716652,1.8218960728483384,0.843407122564047,0.7929681232583353,0.8346088410814126,0.3783740578080264,0.9772727272727272,0.9772727272727272
highreq15,2,base -> split,base,split,830,1316,454,1692,10.8288501352961,48.4535670453918,37.6247169100957,10.8288501352961,-48.4535670453918,1.290090685806052,1.3713020674571863,0.8587475937956593,0.7934937599762695,0.7715661457811974,0.7141602615819226,0.9772727272727272,0.9090909090909092
highreq15,2,niipband_mild -> split_niipband_mild,niipband_mild,split_niipband_mild,282,1864,393,1753,334.964789863177,38.2552097639756,-296.709580099202,-334.964789863177,-38.2552097639756,1.3932285374573647,1.3680646466894908,0.8401758479774223,0.8791983516875889,0.7636313353655664,0.7250759677883588,0.9772727272727272,0.9772727272727272
