inflow_scale,inflow_change_pct,action_0_mean_delta,action_0_mean_abs_delta,action_1_mean_delta,action_1_mean_abs_delta,action_2_mean_delta,action_2_mean_abs_delta,action_3_mean_delta,action_3_mean_abs_delta,delta_niip_release_af,delta_spr_release_af,delta_esa_release_af,delta_discretionary_sj_release_af,delta_other_sj_release_af,delta_total_spill_af,delta_ending_storage_af,delta_mean_storage_af,water_balance_residual_af
0.5,-50,0.0195176128,0.03653246525,0.0665945141,0.06663740102,-0.3543061858,0.3582757148,-0.1226588654,0.1226588654,1022501.372,-698088.1563,420859.3431,-747528.2698,-4.656612873e-10,0,0,184116.3534,-2255.710744
0.6,-40,0.009469203332,0.02858635349,0.05491770566,0.05515549317,-0.3024975196,0.306295617,-0.1226588654,0.1226588654,949568.671,-568206.4441,503663.7163,-894245.5814,-4.656612873e-10,0,7129.786912,311786.6533,-2089.85124
0.7,-30,-0.006938871344,0.01708176602,0.03754262795,0.03804098477,-0.2064238314,0.2119455206,-0.1182542903,0.1182542903,585211.7102,-354763.6364,370268.2973,-1001636.685,4.656612873e-10,0,400309.5943,502572.9422,-610.7190083
0.8,-20,0.00204182032,0.008728454664,0.01164906148,0.01232634579,-0.1063529069,0.1167572217,-0.08904686364,0.08904686364,127924.9277,-134757.0248,72807.70285,-970163.6362,4.656612873e-10,0,904079.3775,552310.1348,-108.6528926
0.9,-10,0.003182394166,0.004812599472,0.003602816234,0.004367165087,-0.04587881063,0.04765987974,-0.05278694558,0.05278694558,34676.36113,-58254.54545,-2941.085737,-620513.6653,4.656612873e-10,0,647032.9353,315341.9474,-7.217749953e-09
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,10,-0.008254813931,0.008809889387,-0.001291619601,0.003820656133,0.03628392257,0.04027968112,0.04307238534,0.0430765144,-12431.56929,16938.84298,1716.5869,601053.7245,9.313225746e-10,-474133.9995,-133143.5856,-74298.93475,-1.862645149e-09
1.2,20,-0.01716765345,0.01778095122,-0.001724085239,0.006839888496,0.0643227511,0.07034522038,0.07715599293,0.07741204625,-16593.96473,58016.52893,3289.758419,1004574.588,9.313225746e-10,-885599.504,-163687.4064,-97013.14102,-6.286427379e-09
1.3,30,-0.0231751464,0.02376675496,-0.002052496764,0.009081702555,0.08239159681,0.08928753587,0.1134093626,0.1137614358,-19754.85673,75054.54545,5546.099909,1453444.182,1.862645149e-09,-1321348.728,-192941.2427,-117440.6673,3.958120942e-09
1.4,40,-0.0291006768,0.02963246953,-0.001917460836,0.01086081881,0.09189652076,0.1003517016,0.1453200814,0.1457549596,-18455.16641,122354.3802,6138.079795,1869735.265,1.862645149e-09,-1801468.355,-178304.204,-135327.6157,-4.656612873e-09
1.5,50,-0.03631154574,0.03676177184,-0.001437164002,0.0128370286,0.09942741549,0.1090770757,0.1710542688,0.1715638102,-13832.40592,156541.4876,6813.570153,2223875.619,9.313225746e-10,-2207205.578,-166192.6925,-145945.0328,-8.847564459e-09
