mode,inflow_scale,inflow_change_pct,n_days,spill_days,spill_frac_days,spill_free_days,total_spill_af,niip_release_af,spr_release_af,esa_release_af,discretionary_sj_release_af,other_sj_release_af,controlled_sj_release_af,ending_storage_af,mean_storage_af,storage_frac_of_max_possible,esa_min_flow_frac_days_met,flooding_frac_days_met,policy_spr_score,hydropower_frac_of_max_possible,niip_annual_volume_frac_of_contract,action_0_label,action_0_mean,action_1_label,action_1_mean,action_2_label,action_2_mean,action_3_label,action_3_mean
adaptive,0.5,-50,3882,0,0,1,0,2519059.547,360714.0496,1063448.937,403994.0963,0,1828157.083,338.3305785,387763.3017,0.2353023793,0.7431736218,1,0.05,0.0849784164,1.12956936,ESA/baseflow,0.8533232439,NIIP delivery,-0.6960905271,SPR target,-0.5277377909,Discretionary release,-1
replay,0.5,-50,3882,0,0,1,0,1496558.175,1058802.206,642589.594,1151522.366,4.656612873e-10,2852914.166,338.3305785,203646.9482,0.1235769637,0.5363214838,0.999742268,0.5336363636,0.09396168985,0.7087600575,ESA/baseflow,0.833805631,NIIP delivery,-0.7626850412,SPR target,-0.1734316051,Discretionary release,-0.8773411346
adaptive,0.6,-40,3882,0,0,1,0,2714685.68,501322.314,1322271.542,541317.9265,-4.656612873e-10,2364911.783,7556.183606,572389.4809,0.3473371672,0.8691396188,0.999742268,0.06090909091,0.12056563,1.191967637,ESA/baseflow,0.8432748344,NIIP delivery,-0.7077673356,SPR target,-0.4759291247,Discretionary release,-1
replay,0.6,-40,3882,0,0,1,0,1765117.009,1069528.758,818607.8261,1435563.508,0,3323700.092,426.3966942,260602.8277,0.1581389088,0.623132406,0.999742268,0.5336363636,0.1232612225,0.8288484593,ESA/baseflow,0.833805631,NIIP delivery,-0.7626850412,SPR target,-0.1734316051,Discretionary release,-0.8773411346
adaptive,0.7,-30,3882,0,0,1,0,2645447.482,716271.0744,1430144.109,634402.5941,0,2780817.777,400824.0571,847087.1145,0.5140290807,0.9389489954,0.999742268,0.2427272727,0.164963926,1.169969897,ESA/baseflow,0.8268667597,NIIP delivery,-0.7251424133,SPR target,-0.3798554365,Discretionary release,-0.9955954249
replay,0.7,-30,3882,0,0,1,0,2060235.771,1071034.711,1059875.811,1636039.279,-4.656612873e-10,3766949.801,514.4628099,344514.1723,0.209057959,0.733127254,0.999742268,0.5336363636,0.1559788732,0.9536827771,ESA/baseflow,0.833805631,NIIP delivery,-0.7626850412,SPR target,-0.1734316051,Discretionary release,-0.8773411346
adaptive,0.8,-20,3882,0,0,1,0,2396227.258,936277.686,1432094.642,876120.4497,4.656612873e-10,3244492.778,926304.9497,1053409.353,0.6392294633,0.947192169,0.999742268,0.3290909091,0.2049616734,1.093064859,ESA/baseflow,0.8358474514,NIIP delivery,-0.7510359797,SPR target,-0.279784512,Discretionary release,-0.9663879982
replay,0.8,-20,3882,0,0,1,0,2268302.33,1071034.711,1359286.939,1846284.086,0,4276605.736,22225.57222,501099.2187,0.3040768373,0.9100978877,0.999742268,0.5336363636,0.2069536461,1.039569076,ESA/baseflow,0.833805631,NIIP delivery,-0.7626850412,SPR target,-0.1734316051,Discretionary release,-0.8773411346
adaptive,0.9,-10,3882,0,0,1,0,2318783.808,1012780.165,1433954.827,1296959.916,-4.656612873e-10,3743694.909,1244481.938,1158745.107,0.703149265,0.9577537352,0.999742268,0.5336363636,0.2468184001,1.061709582,ESA/baseflow,0.8369880252,NIIP delivery,-0.759082225,SPR target,-0.2193104157,Discretionary release,-0.9301280802
replay,0.9,-10,3882,0,0,1,0,2284107.446,1071034.711,1436895.913,1917473.582,-9.313225746e-10,4425404.205,597449.0032,843403.1593,0.5117935844,0.9672849047,0.999742268,0.5336363636,0.268947236,1.046757026,ESA/baseflow,0.833805631,NIIP delivery,-0.7626850412,SPR target,-0.1734316051,Discretionary release,-0.8773411346
