date,dam_safety,flood_safety,niip_delivery,hydropower,esa_min_flow,storage,spring_peak_release
2014-01-01,0,0,-0.028496675,0.266218863,2.45340249,1.59034026,-0.05
2014-01-02,0,0,-0.028212363,0.261185489,2.45223137,1.59004117,-0.05
2014-01-03,0,0,-0.0282028912,0.259926734,2.45193405,1.58995439,-0.05
2014-01-04,0,0,-0.0294678172,0.279985806,2.45647808,1.58935283,-0.05
2014-01-05,0,0,-0.0294493351,0.277450703,2.45593429,1.58876382,-0.05
2014-01-06,0,0,-0.0305175409,0.292499658,2.45909866,1.58850962,-0.05
2014-01-07,0,0,-0.0340800941,0.348915981,2.46907925,1.58751201,-0.05
2014-01-08,0,0,-0.033916895,0.34260274,2.46810245,1.5867395,-0.05
2014-01-09,0,0,-0.0298122318,0.273584034,2.45510591,1.58632,-0.05
2014-01-10,0,0,-0.0288976709,0.257255059,2.4513339,1.58583236,-0.05
2014-01-11,0,0,-0.0303305966,0.2785796,2.45620702,1.58578236,-0.05
2014-01-12,0,0,-0.0308082743,0.286075248,2.45780858,1.58506669,-0.05
2014-01-13,0,0,-0.0319045376,0.301109318,2.46083917,1.58468606,-0.05
2014-01-14,0,0,-0.0324580623,0.308614569,2.4622723,1.58426248,-0.05
2014-01-15,0,0,-0.0320105633,0.299818368,2.46059511,1.58387951,-0.05
2014-01-16,0,0,-0.0329527838,0.313581093,2.46319862,1.58321719,-0.05
2014-01-17,0,0,-0.0326374151,0.306038307,2.46180048,1.5827995,-0.05
2014-01-18,0,0,-0.0328881804,0.308525739,2.4622723,1.58236876,-0.05
2014-01-19,0,0,-0.0327533938,0.304745056,2.46156237,1.5819487,-0.05
2014-01-20,0,0,-0.0329269003,0.305978863,2.46180048,1.58152203,-0.05
2014-01-21,0,0,-0.0334903592,0.313476773,2.46319862,1.58102916,-0.05
2014-01-22,0,0,-0.0337583614,0.315957955,2.46365327,1.5804937,-0.05
2014-01-23,0,0,-0.034423892,0.324692246,2.46520098,1.57970222,-0.05
2014-01-24,0,0,-0.0343713716,0.320892696,2.46454587,1.57888326,-0.05
2014-01-25,0,0,-0.0345583788,0.320873471,2.46454587,1.57848968,-0.05
2014-01-26,0,0,-0.0354244932,0.333368492,2.46668313,1.57781229,-0.05
2014-01-27,0,0,-0.034570332,0.317033138,2.46387849,1.57680286,-0.05
2014-01-28,0,0,-0.0349561476,0.31951225,2.46432479,1.57626506,-0.05
2014-01-29,0,0,-0.0355443051,0.326996998,2.46563102,1.57565461,-0.05
2014-01-30,0,0,-0.0353735353,0.321961158,2.46476559,1.57512027,-0.05
2014-01-31,0,0,-0.0339459488,0.296905599,2.46010244,1.57492976,-0.05
2014-02-01,0,0,-0.0334471792,0.288142336,2.4583294,1.5750037,-0.05
2014-02-02,0,0,-0.03505769,0.314438194,2.46342665,1.57493179,-0.05
2014-02-03,0,0,-0.0349964675,0.313153566,2.46319862,1.5742544,-0.05
2014-02-04,0,0,-0.0356163536,0.320635227,2.46454587,1.57361398,-0.05
2014-02-05,0,0,-0.0357632003,0.320615462,2.46454587,1.57320964,-0.05
2014-02-06,0,0,-0.0360881216,0.324342819,2.46520098,1.5726338,-0.05
2014-02-07,0,0,-0.0363747876,0.326803959,2.46563102,1.57178085,-0.05
2014-02-08,0,0,-0.0356406525,0.311766566,2.46296918,1.57141872,-0.05
2014-02-09,0,0,-0.0357239872,0.311749336,2.46296918,1.57105644,-0.05
