update_idx,timesteps,rollout_steps,mean_total_reward,mean_dam_safety.spill_guard_warn98,mean_storage_control.target_peak875_concave0_softupper98,mean_hydropower.positive_discretionary_efficiency,mean_flooding.penalty_caps_jon,mean_niip.delivery_match_historic_hardmeet_b10oversoft_neg1_logoff025_jon,mean_esa_min_flow.green_logistic_jon,mean_esa_spring_peak_release.farmington_thresholds_actionproxy_smart_ledger_hammer_histfreq_stop_excess_strong,spr_reward_sum,spr_reward_abs_sum,spr_reward_positive_sum,spr_reward_negative_sum,spr_reward_mean_all_steps,spr_reward_abs_mean_all_steps,spr_reward_abs_share_of_components,spr_reward_nonzero_steps,spr_reward_positive_steps,spr_reward_negative_steps,spr_window_steps,spr_reward_mean_window_steps,spr_opportunity_steps,spr_reward_mean_opportunity_steps,spr_reachable_opportunity_steps,spr_reward_mean_reachable_opportunity_steps,reward_balancing,reward_component_space
0,3600,3600,-3.905547995766586,0.0,-2.1386810187775036,0.09956941804386206,-0.003945517984866375,-1.3264696638753182,0.47337762907657444,-1.009398840876458,-3633.835827155249,4906.271369323925,636.2177710843597,-4270.053598239602,-1.009398840876458,1.3628531581455348,0.20559103185158611,2764,81,2683,480,-4.457382231803042,480,-4.457382231803042,450,-4.306145472281777,none,raw
1,7200,3600,-3.7748865289644913,0.0,-2.2734512342471733,0.08820996131659796,-0.0025844346857852064,-1.3357701863955638,0.6280461209418383,-0.8793367633450347,-3165.612348042125,4819.1219376859435,826.7547948219338,-3992.3671428640846,-0.8793367633450347,1.3386449826905398,0.1929478717869663,2729,50,2679,480,-3.8658491377860584,480,-3.8658491377860584,470,-3.810461054555061,none,raw
2,10800,3600,-3.6653560753779475,0.0,-2.218026437639467,0.08909754102891852,-0.0031654830842291265,-1.3528652211999725,0.5260049951469028,-0.7064014716675209,-2543.045298003075,4682.65515307696,1069.8049275369474,-3612.8502255400545,-0.7064014716675209,1.3007375425213779,0.19217982892485316,2546,52,2494,480,-2.9283306734016405,480,-2.9283306734016405,465,-2.7838230853530326,none,raw
3,14400,3600,-3.2823336953669786,0.0,-2.078112115931584,0.11675776188635173,-0.005418445271067189,-1.363175025003012,0.7917266603139723,-0.7441125354819839,-2678.805127735142,4187.413228045317,754.30405015509,-3433.1091778902482,-0.7441125354819839,1.163170341123699,0.18619107500204382,2533,75,2458,480,-3.321818413914809,480,-3.321818413914809,465,-3.266604568253313,none,raw
4,18000,3600,-3.559147195944097,0.0,-2.262841813468116,0.08622618419162602,-0.002528724838181365,-1.3658757743139052,0.588863649040405,-0.6029907155466497,-2170.766575967939,4335.422580891849,1082.3280024619357,-3253.0945784299115,-0.6029907155466497,1.2042840502477359,0.1764686567029523,2492,62,2430,480,-2.260712182250079,480,-2.260712182250079,458,-2.128837214404523,none,raw
5,21600,3600,-3.6209409501358945,0.0,-2.320079444032392,0.07795259436448314,-0.0024054020591458007,-1.2615085726556983,0.5782566441665837,-0.693156768023893,-2495.3643648860148,3819.385132944839,662.0103840293931,-3157.3747489154316,-0.693156768023893,1.0609403147068996,0.16209716491626386,2321,70,2251,480,-3.372715634169667,480,-3.372715634169667,458,-3.332731919989147,none,raw
6,25200,3600,-3.6049168663794102,0.0,-2.345745083746592,0.07468868663394646,-0.0028565270760358506,-1.3299833878813032,0.6069484219903095,-0.6079689773925098,-2188.6883186130353,3899.5442379209235,855.4279596539129,-3044.116278266976,-0.6079689773925098,1.0832067327558121,0.16207172035682665,2334,53,2281,480,-2.774256156676058,480,-2.774256156676058,458,-2.632919131912801,none,raw
7,28800,3600,-3.091030625569369,0.0,-2.1778806716778467,0.09961292741824372,-0.00577379916380097,-1.1718836470213998,0.5720612667637309,-0.40716670110777603,-1465.8001239879936,3913.742635611856,1223.9712558118986,-2689.7713797999318,-0.40716670110777603,1.0871507321144045,0.1766309031352374,2276,55,2221,463,-1.409452263512684,447,-1.317059868469876,422,-1.2377287787225715,none,raw
8,32400,3600,-2.8923689969562827,0.0,-2.070609840120384,0.12527446091675887,-0.0061157380045833805,-1.328643889259379,0.8626803023024449,-0.4749542930177036,-1709.8354548637328,3717.530042282099,1003.8472937091357,-2713.682748572908,-0.4749542930177036,1.03264723396725,0.16925349143453144,2281,74,2207,480,-1.9818429571705063,472,-1.9821620173530754,435,-1.6781742059595293,none,raw
9,36000,3600,-3.1080835492437795,0.0,-2.2316889741326635,0.09808518042200472,-0.004345080246482378,-1.333644977667885,0.8724774221137619,-0.5089671175202275,-1832.281623072819,4110.140093197874,1138.9292350624878,-2971.2108581353486,-0.5089671175202275,1.141705581443854,0.18097818916652553,2246,71,2175,480,-2.206636300505031,480,-2.206636300505031,462,-2.188305854855328,none,raw
