update_idx,timesteps,total_reward,mean_dam_safety,absolute_share_dam_safety,positive_days_dam_safety,mean_positive_dam_safety,mean_flood_safety,absolute_share_flood_safety,positive_days_flood_safety,mean_positive_flood_safety,mean_niip_delivery,absolute_share_niip_delivery,positive_days_niip_delivery,mean_positive_niip_delivery,mean_hydropower,absolute_share_hydropower,positive_days_hydropower,mean_positive_hydropower,mean_esa_min_flow,absolute_share_esa_min_flow,positive_days_esa_min_flow,mean_positive_esa_min_flow,mean_storage,absolute_share_storage,positive_days_storage,mean_positive_storage,mean_spring_peak_release,absolute_share_spring_peak_release,positive_days_spring_peak_release,mean_positive_spring_peak_release
0,3600,-3.905548,0,0,0,,-0.00394551798,0.0595194801,0,,-1.32646966,23.4784252,5.80555556,1.98003409,0.099569418,1.50203852,63.5833333,0.156596726,0.473377629,19.0516401,45.5,1.90802393,-2.13868102,35.3492736,6.47222222,1.58064327,-1.00939884,20.5591032,2.25,7.85454038
1,7200,-3.77488653,0,0,0,,-0.00258443469,0.037251189,0,,-1.33577019,26.6815408,13.1111111,1.9653456,0.0882099613,1.27142928,64.5,0.13675963,0.628046121,18.6087008,49.5,1.93847616,-2.27345123,34.1062908,3.72222222,1.24649828,-0.879336763,19.2947872,1.38888889,16.5350959
2,10800,-3.66535608,0,0,0,,-0.00316548308,0.0467690043,0,,-1.35286522,25.5890111,9.75,1.94402502,0.089097541,1.31638779,63.2222222,0.140927569,0.526004995,19.0412981,47.7222222,1.90140341,-2.21802644,34.7885512,4.55555556,1.4990421,-0.706401472,19.2179829,1.44444444,20.5731717
3,14400,-3.2823337,0,0,0,,-0.00541844527,0.0867341708,0,,-1.36317503,25.4147981,5.97222222,1.87982601,0.116757762,1.86896557,68.2222222,0.171143299,0.79172666,17.5591985,49.2222222,1.91852625,-2.07811212,36.4511962,7.5,1.32708022,-0.744112535,18.6191075,2.08333333,10.0573873
4,18000,-3.5591472,0,0,0,,-0.00252872484,0.0370544371,0,,-1.36587577,27.1488182,12.6944444,1.91759028,0.0862261842,1.26350747,63.5,0.135789266,0.588863649,19.3085495,48.8611111,1.95098596,-2.26284181,34.5952048,3.88888889,1.26072494,-0.602990716,17.6468657,1.72222222,17.4569033
5,21600,-3.62094095,0,0,0,,-0.00240540206,0.0367512525,0,,-1.26150857,27.8938734,14.5555556,1.93798913,0.0779525944,1.19100899,64,0.121800929,0.578256644,18.7904337,47.3611111,1.90885216,-2.32007944,35.8782162,2.16666667,0.650344875,-0.693156768,16.2097165,1.94444444,9.4572912
6,25200,-3.60491687,0,0,0,,-0.00285652708,0.0427399723,0,,-1.32998339,28.1353647,13.9166667,1.97764452,0.0746886866,1.11750819,64.2777778,0.116196747,0.606948422,19.0713894,47.8888889,1.9645321,-2.34574508,35.4258257,1.72222222,0.636991755,-0.607968977,16.207172,1.47222222,16.1401502
7,28800,-3.09103063,0,0,0,,-0.00577379916,0.0938077242,0,,-1.17188365,23.2131403,6.5,1.97591341,0.0996129274,1.61842519,65.1111111,0.152989138,0.572061267,20.9837819,47.5,1.96168234,-2.17788067,36.4277545,3.63888889,0.882438153,-0.407166701,17.6630903,1.52777778,22.2540228
8,32400,-2.892369,0,0,0,,-0.006115738,0.100238492,0,,-1.32864389,25.8724336,6.61111111,1.88986171,0.125274461,2.05328007,70.2777778,0.17825615,0.862680302,17.700539,49.7222222,1.95347596,-2.07060984,37.3481597,7,1.48622356,-0.474954293,16.9253491,2.05555556,13.565504
9,36000,-3.10808355,0,0,0,,-0.00434508025,0.0688763169,0,,-1.33364498,24.6910271,6,1.86662371,0.0980851804,1.5548035,67.4444444,0.145431075,0.872477422,18.7048938,52.1944444,1.96618673,-2.23168897,36.8825804,3.69444444,1.28650112,-0.508967118,18.0978189,1.97222222,16.0412568
10,39600,-3.25099154,0,0,0,,-0.00844370198,0.145706954,0,,-1.27196522,25.4313726,5.58333333,1.8069854,0.118214297,2.03993996,71.1388889,0.166173943,0.786470637,18.3707936,45.8888889,2.01688922,-2.17410339,38.437716,2.77777778,0.960444665,-0.701164158,15.5744709,1.88888889,5.33050729
11,43200,-2.89680745,0,0,0,,-0.00506509844,0.0836920905,0,,-1.31974493,25.1778984,5.63888889,1.80919915,0.116392211,1.92318226,70.5555556,0.164965338,0.905156138,18.026471,51.2222222,1.94849961,-2.15562326,37.2495033,4.13888889,1.19283618,-0.437922513,17.539253,2.33333333,13.3620902
