objective,metric,selected_policy,benchmark,delta,units,benchmark_label,hard_screen,result,selected_policy_display,benchmark_display,delta_display
Dam safety,Spill volume,0.0,0.0,0.0,acre-ft,Historical management,yes,Pass,0,0,0
Storage,Storage / maximum possible,0.7425503053981773,0.6856296239512203,0.056920681446957055,%,Historical management,yes,Pass,74.255%,68.563%,5.692%
ESA minimum flow,Days meeting 500 cfs Farmington minimum,0.967284904688305,0.95801133436373,0.009273570324574987,%,Historical management,yes,Pass,96.728%,95.801%,0.927%
Flood control,Flood-safe days,0.9997422680412371,0.999742334449884,-6.64086469148728e-08,%,Historical management,yes,Pass,99.974%,99.974%,-0.000%
Spring peak release,"10,000 cfs / 5 d frequency",0.09090909090909091,0.09090909090909091,0.0,%,Historical management,yes,Pass,9.091%,9.091%,0.000%
Spring peak release,"8,000 cfs / 10 d frequency",0.2727272727272727,0.18181818181818182,0.09090909090909088,%,Historical management,yes,Pass,27.273%,18.182%,9.091%
Spring peak release,"5,000 cfs / 21 d frequency",0.2727272727272727,0.2727272727272727,0.0,%,Historical management,yes,Pass,27.273%,27.273%,0.000%
Spring peak release,"2,500 cfs / 10 d frequency",0.7272727272727273,0.7272727272727273,0.0,%,Historical management,yes,Pass,72.727%,72.727%,0.000%
Hydropower,Hydropower / maximum possible,0.3025808277058512,0.3002375563379423,0.0023432713679089057,%,Historical management,yes,Pass,30.258%,30.024%,0.234%
NIIP,Annual volume / contract,1.046757025828008,1.0,0.04675702582800789,%,Contractual target,yes,Pass,104.676%,100.000%,4.676%
NIIP diagnostic,Daily historical-demand timing,0.9644288038898446,1.0,-0.035571196110155356,%,Historical management,no,Diagnostic,96.443%,100.000%,-3.557%
