task_id,experiment,seed,status,git_commit,plan_id,requested_timesteps,resolved_timesteps,started_at,ended_at,error,compatibility_mismatches
0,reward_jon_p95_oishift875to90_hsoft,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:45.971601+00:00,2026-09-17T18:14:37.792314+00:00,,
1,reward_jon_p95_oishift875to90_heff,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:45.786999+00:00,2026-09-17T18:19:21.053041+00:00,,
2,reward_jon_p95_oishift875to90_hdisceff,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:45.972499+00:00,2026-09-17T18:14:56.387326+00:00,,
3,reward_jon_p95_peak875_heff,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:45.337929+00:00,2026-09-17T18:16:38.568025+00:00,,
4,reward_jon_p95_peak875_hdisceff,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:45.908939+00:00,2026-09-17T18:15:14.871363+00:00,,
5,reward_jon_p95_plateau90_96_hsoft,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:45.784782+00:00,2026-09-17T18:14:52.847427+00:00,,
6,reward_jon_p95_plateau90_96_heff,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:45.958928+00:00,2026-09-17T18:18:56.734483+00:00,,
7,reward_jon_p95_oishift875to90_heff_niip275,0,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:45.588347+00:00,2026-09-17T18:22:07.651039+00:00,,
8,reward_jon_p95_oishift875to90_hsoft,1,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:45.556805+00:00,2026-09-17T18:19:11.207307+00:00,,
9,reward_jon_p95_oishift875to90_heff,1,completed,8e7fdcf7f68a103b7249dfb8516b8a28dce87f62,a46c01d4fdda860feb330e4af867ce73a003880c6a73745e16d9e466d6e8b009,3159000,3157200,2026-09-17T15:30:45.338478+00:00,2026-09-17T18:17:28.206632+00:00,,
